"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B8"	"B9"	"B10"	"B11"	"B12"	"B13"
"2L52.1a"	7	4	2	4	6	4	1	6	1	2	1	3
"2RSSE.1a"	0	1	0	1	2	0	0	0	0	0	0	0
"2RSSE.8"	1	1	0	0	0	0	0	0	1	0	0	0
"3R5.1a"	9	20	4	3	3	10	20	16	24	15	15	19
"4R79.1a"	0	1	0	0	0	0	1	0	2	1	0	0
"4R79.2a"	0	0	0	1	0	0	0	0	0	0	0	0
"6R55.2"	3	0	0	0	1	0	0	0	0	0	0	0
"AC3.1"	1	0	0	1	0	0	0	0	1	1	0	1
"AC3.10"	0	0	0	2	0	0	0	0	0	0	0	0
"AC3.2"	0	0	2	0	3	1	0	1	0	3	1	1
"AC3.5b"	93	26	17	27	21	49	16	3	3	4	4	1
"AC3.7"	0	1	1	0	1	1	0	0	1	0	2	1
"AC3.8"	4	3	0	3	10	2	2	1	4	8	2	1
"AC3.9"	3	0	3	0	0	0	0	0	0	0	1	0
"AC7.2b"	1	3	1	1	7	0	0	1	1	5	3	1
"AC7.3"	1	4	0	1	0	1	0	0	0	0	0	0
"AC8.1"	27	26	30	26	9	19	11	12	11	13	14	7
"AC8.2"	0	0	1	0	0	0	0	0	0	0	0	0
"AC8.5"	9	2	2	0	2	2	1	6	5	10	7	6
"AC8.6"	1	1	0	2	0	1	0	0	0	1	0	0
"AH10.1"	2	2	3	0	0	2	0	0	0	0	0	0
"AH10.10"	0	0	0	0	0	0	0	0	0	1	0	0
"AH10.2"	21	8	2	4	5	6	5	2	3	4	3	0
"AH10.4"	0	0	0	0	0	0	0	0	1	0	0	0
"AH10.8"	0	0	0	0	0	1	0	0	0	0	0	0
"AH6.16"	1	0	0	0	0	0	0	0	0	0	0	0
"AH6.3"	2	0	2	0	0	0	0	0	0	1	0	0
"AH6.5"	241	193	115	67	124	102	75	85	199	177	113	105
"AH6.9"	1	0	0	0	0	1	0	0	0	0	0	0
"AH9.1"	0	1	0	0	0	0	0	0	0	0	0	0
"AH9.2"	23	19	1	7	14	3	2	5	17	7	8	6
"AH9.3"	17	25	20	7	15	9	11	8	19	23	14	12
"AH9.4"	0	1	1	0	1	0	0	0	0	0	0	0
"AH9.7"	135	96	55	24	104	57	33	18	61	55	29	23
"AH9.8"	0	0	0	0	0	0	0	1	0	0	0	0
"B0001.2"	372	273	156	150	149	143	126	107	235	227	147	135
"B0001.3c"	13	8	14	2	13	3	2	4	7	2	5	2
"B0001.4b"	8	9	2	5	4	0	2	2	7	6	4	3
"B0001.5"	10832	10065	6005	5553	5142	6774	5175	4622	9471	11203	7565	5374
"B0001.6.2"	220	228	129	110	106	167	115	57	193	138	91	75
"B0001.7b"	952	664	304	281	349	303	208	186	429	303	282	239
"B0001.8c"	299	172	100	99	135	91	46	65	135	141	85	76
"B0019.1"	16	6	3	3	7	9	6	5	8	9	3	3
"B0019.2"	54	54	39	25	40	35	20	30	44	33	38	28
"B0019.4"	5	2	2	0	3	0	0	0	1	1	3	1
"B0024.1"	0	1	0	0	0	0	0	0	0	0	0	0
"B0024.10"	660	361	277	234	393	234	153	128	302	214	194	169
"B0024.11"	579	425	206	203	285	218	182	136	350	249	217	183
"B0024.12"	5	0	3	0	1	1	1	0	1	2	3	1
"B0024.13"	180	69	52	48	98	60	40	39	78	76	37	46
"B0024.15.2"	4	3	0	2	0	5	0	5	2	9	3	6
"B0024.3"	17	12	10	10	10	12	6	5	9	12	8	5
"B0024.4"	0	0	0	0	0	1	1	0	0	0	0	0
"B0024.6b"	14	3	0	1	5	2	0	1	1	2	0	2
"B0024.9a"	319	203	159	113	209	166	107	83	181	241	117	105
"B0025.4"	28	49	26	15	23	19	11	20	37	27	23	25
"B0025.5"	2	0	1	0	2	1	1	0	0	0	0	0
"B0025.7"	18	13	3	3	11	4	3	7	3	6	3	7
"B0034.1"	0	0	1	0	0	0	0	0	0	0	0	0
"B0034.15"	0	0	0	0	0	0	1	0	0	0	0	0
"B0034.3a"	15	16	6	1	6	5	7	4	5	7	6	4
"B0034.5"	0	1	0	0	1	0	0	0	0	2	0	0
"B0035.10"	8	5	3	0	1	3	1	1	8	3	5	1
"B0035.11"	893	817	538	428	318	504	352	272	696	626	486	382
"B0035.12.3"	7	13	1	3	0	4	3	1	3	2	4	5
"B0035.13"	0	0	0	0	0	0	1	0	2	0	0	0
"B0035.14a.2"	135	109	39	39	60	52	28	39	77	44	52	39
"B0035.15"	248	232	146	129	94	132	88	65	173	157	119	105
"B0035.16"	112	90	68	36	64	52	34	19	36	66	40	27
"B0035.18"	3	0	1	1	2	1	2	0	1	6	2	2
"B0035.19"	0	0	0	0	0	0	0	1	0	0	0	0
"B0035.1b"	100	53	39	27	47	35	22	16	52	39	31	25
"B0035.2"	57	64	33	27	56	37	19	18	50	30	32	23
"B0035.21"	2	2	1	1	0	0	0	1	1	1	1	0
"B0035.3"	26	33	12	15	9	19	13	12	27	18	14	14
"B0035.4"	113	75	58	34	70	38	24	30	45	57	36	32
"B0035.5"	362	278	172	150	238	171	128	105	264	217	166	123
"B0035.6"	633	529	300	206	248	306	186	178	415	380	282	246
"B0035.7"	17	9	4	2	6	8	5	1	5	5	5	2
"B0035.8"	1	0	0	0	1	1	0	1	2	1	2	1
"B0041.1"	4	0	4	1	4	5	1	1	0	2	1	1
"B0041.10"	0	0	0	0	1	0	0	0	0	0	0	0
"B0041.11.2"	745	298	201	200	699	200	157	153	382	469	241	210
"B0041.2c.2"	216	115	49	48	86	60	49	36	90	58	49	49
"B0041.3"	73	51	15	22	32	15	9	10	30	30	19	15
"B0041.4"	274	161	63	81	202	78	57	72	123	83	73	57
"B0041.5"	102	37	23	26	48	31	28	13	35	36	28	22
"B0041.7"	2638	1992	1027	813	1447	1037	852	881	1526	1841	1212	1015
"B0041.8.2"	209	116	39	37	88	51	28	28	73	47	46	33
"B0047.1b"	16609	18808	10448	8678	8891	11178	7098	7322	14108	18454	11574	8505
"B0047.2"	34	24	13	18	22	17	8	11	26	29	23	15
"B0047.3"	4952	4323	2767	2453	3040	3110	2345	2739	4854	6140	3896	3347
"B0047.4"	407	204	139	116	198	132	78	72	138	190	115	101
"B0047.5"	675	507	258	191	503	266	270	268	471	619	397	318
"B0198.1"	158	101	75	40	92	81	52	26	82	87	38	40
"B0198.3a"	1	1	0	0	0	0	0	0	0	0	0	0
"B0205.10.2"	2	0	3	0	0	1	1	0	2	0	0	0
"B0205.11"	117	137	58	42	53	57	58	47	122	74	67	72
"B0205.12"	128	245	192	128	73	216	142	141	378	517	370	219
"B0205.13"	2	2	0	0	0	0	0	0	0	0	0	1
"B0205.14"	5	0	0	1	1	0	0	0	0	0	0	0
"B0205.1a"	4	6	0	0	8	2	1	0	3	1	1	0
"B0205.4"	4	0	0	0	1	2	1	0	0	0	1	1
"B0205.5"	1042	601	365	374	778	416	246	258	463	636	363	291
"B0205.6"	557	202	84	53	297	77	52	40	122	114	78	70
"B0205.7"	388	257	141	121	194	144	87	72	212	140	115	86
"B0205.8"	375	220	120	109	319	145	72	82	165	217	148	100
"B0205.9"	409	309	191	142	181	149	119	80	234	165	144	111
"B0207.1"	0	0	1	0	0	0	0	0	0	0	0	0
"B0207.10"	0	0	0	0	0	0	1	0	0	0	0	0
"B0207.11"	0	0	1	0	0	0	0	0	0	0	0	0
"B0207.12b"	7	5	1	0	3	1	1	0	0	1	3	0
"B0207.3b"	0	0	0	0	0	0	0	0	0	0	1	0
"B0207.4"	1265	790	485	424	755	450	317	399	662	861	510	398
"B0207.5b"	65	38	29	17	31	24	17	10	17	14	7	13
"B0207.6"	73	56	38	24	43	39	20	20	33	46	28	25
"B0207.9"	0	1	0	1	0	2	0	0	0	0	0	0
"B0212.1b"	0	0	0	1	0	0	0	0	0	0	0	0
"B0212.2"	1	2	2	1	0	3	3	3	4	5	2	0
"B0212.3"	399	336	229	180	238	158	137	112	288	287	211	164
"B0212.5"	46	33	27	16	55	20	8	2	7	5	5	3
"B0213.10"	0	0	0	1	0	0	0	0	0	0	0	0
"B0213.11b"	5	0	2	3	5	2	2	1	1	0	2	2
"B0213.14"	0	0	0	0	0	0	0	0	0	1	0	0
"B0213.17"	1	0	0	0	1	0	0	0	0	1	0	0
"B0213.8"	0	0	1	0	0	0	0	0	0	0	1	0
"B0218.2"	20	11	11	12	9	12	4	3	4	10	7	5
"B0218.3"	31	17	8	5	6	11	2	4	18	9	3	6
"B0218.5"	10	6	4	2	3	1	3	1	1	5	2	1
"B0218.7"	3	2	2	1	0	0	0	0	0	0	0	0
"B0218.8"	0	0	0	0	0	0	0	0	0	1	0	0
"B0222.1"	0	0	0	0	0	0	1	0	0	0	0	0
"B0222.10"	0	2	1	1	0	3	0	0	0	1	1	1
"B0222.4"	0	0	0	0	2	0	1	0	0	0	1	0
"B0222.5"	0	0	0	0	0	1	0	0	0	0	0	1
"B0222.9"	2	2	1	3	2	4	0	0	1	2	0	1
"B0228.4c"	7	2	1	1	4	3	1	1	1	1	0	1
"B0228.6"	3	7	8	1	4	1	2	9	5	6	2	6
"B0228.7.2"	608	480	291	258	400	306	201	210	427	501	291	234
"B0228.9"	1	2	0	0	0	0	0	1	0	4	2	0
"B0238.1"	3	2	0	0	1	1	0	0	0	1	2	0
"B0238.10"	324	251	141	119	154	179	83	77	178	220	142	123
"B0238.11"	319	234	131	101	152	108	77	64	155	119	120	88
"B0238.12"	133	58	30	29	88	35	16	38	45	46	33	26
"B0238.15"	4	8	0	4	5	3	1	0	7	8	1	3
"B0238.7"	0	0	0	0	0	0	0	0	0	0	0	1
"B0238.8.2"	5	0	2	1	1	0	0	0	1	0	0	0
"B0238.9"	904	596	340	316	586	381	243	265	578	680	397	303
"B0240.1"	28	18	11	10	15	18	11	14	16	22	12	13
"B0240.2"	1	1	1	0	2	1	1	0	0	0	0	0
"B0240.4"	218	141	84	57	111	78	52	56	111	90	75	56
"B0244.10"	13	3	1	3	2	4	1	3	6	1	0	1
"B0244.15"	1	0	0	0	0	0	0	0	0	0	0	0
"B0244.2"	808	323	231	165	713	252	158	72	95	108	59	54
"B0244.5"	1	0	0	0	0	0	0	0	0	0	0	0
"B0244.6"	3	0	0	0	0	0	0	0	0	0	1	0
"B0244.7"	0	0	1	0	0	0	0	1	0	0	0	0
"B0244.8"	659	439	195	166	247	190	120	115	341	229	216	182
"B0244.9"	0	0	2	0	0	0	1	0	0	0	0	0
"B0250.1"	42	68	26	37	22	40	29	28	68	48	31	34
"B0250.11"	284	246	91	95	159	120	98	121	207	254	163	139
"B0250.12"	250	146	38	37	75	60	43	18	81	77	44	46
"B0250.13"	1	1	0	0	0	0	0	0	0	0	0	0
"B0250.15"	3	0	0	0	0	0	0	0	0	0	2	0
"B0250.17"	0	0	0	0	1	0	0	0	0	0	0	0
"B0250.18a"	5	1	1	0	1	1	2	1	2	1	2	1
"B0250.19"	3	1	1	1	2	0	2	2	0	1	0	0
"B0250.2"	4242	3874	2699	2403	2932	2731	1771	2037	4046	5076	3256	2285
"B0250.3"	9	15	10	9	16	17	10	8	11	13	10	2
"B0250.4"	13	6	6	5	13	4	4	0	2	9	3	4
"B0250.5"	213	106	54	68	130	76	50	49	81	110	74	60
"B0250.6"	1	0	0	0	1	0	0	0	0	1	2	0
"B0250.7c"	1170	1661	1230	953	878	1326	875	874	1600	2084	1136	894
"B0250.8"	39067	25821	12474	10191	22760	14363	10565	11623	20845	26096	15871	12494
"B0250.9"	3	3	2	2	0	0	0	0	0	0	1	0
"B0252.1"	1	1	0	0	2	1	0	0	1	0	1	0
"B0252.2"	2	3	0	1	1	4	0	0	0	1	0	0
"B0252.5"	4	2	2	0	1	1	2	0	0	0	0	1
"B0261.1"	580	343	273	163	268	230	122	103	295	222	189	167
"B0261.5"	0	0	1	0	0	0	0	0	0	0	0	0
"B0261.6a"	1	0	0	0	1	3	1	0	1	0	1	0
"B0261.7"	409	359	239	181	163	203	140	114	262	242	164	151
"B0261.8"	125	96	38	43	272	284	519	395	924	692	620	769
"B0261.9"	2	1	0	0	0	0	0	0	0	1	0	0
"B0272.2"	26	28	27	24	8	22	16	12	24	13	16	19
"B0272.3"	191	139	90	74	126	78	56	51	76	111	58	35
"B0273.1a"	1	0	0	0	0	0	0	0	0	0	0	0
"B0273.3"	497	340	151	151	174	179	125	93	307	252	190	151
"B0273.4f"	3	2	2	1	1	1	0	1	0	7	2	0
"B0280.10"	773	487	232	192	514	261	198	214	382	443	316	236
"B0280.11"	0	0	0	0	0	2	0	0	0	0	0	0
"B0280.12b"	142	52	53	41	53	57	41	28	16	24	17	20
"B0280.13"	2	0	0	0	0	0	0	0	0	0	0	1
"B0280.14"	45	8	3	4	9	8	2	4	15	10	5	4
"B0280.15"	168	33	12	7	67	18	5	8	20	15	11	13
"B0280.16"	57	15	6	6	20	7	6	11	18	9	7	4
"B0280.1b"	260	230	180	155	165	144	107	123	194	223	163	129
"B0280.2"	0	0	0	0	1	0	0	0	0	0	0	0
"B0280.3.2"	136	98	58	33	48	63	59	49	79	85	75	62
"B0280.4"	5	0	1	1	3	1	1	2	1	3	1	0
"B0280.5"	411	211	116	90	272	86	51	67	172	126	92	74
"B0280.8"	74	70	47	38	53	43	41	41	63	73	47	37
"B0280.9"	826	411	232	165	299	208	154	128	319	232	195	168
"B0281.1"	0	0	0	0	0	1	0	0	0	0	0	0
"B0281.2"	0	1	0	0	0	0	0	0	0	0	1	0
"B0281.3"	2	1	0	0	1	0	0	0	0	0	1	0
"B0281.4"	8562	5945	3859	3118	4629	3956	2783	3106	5421	6720	4299	3141
"B0281.5a"	8	3	5	2	2	1	1	0	8	2	3	1
"B0281.6"	0	0	0	0	0	1	0	1	1	0	0	0
"B0284.1"	0	0	0	0	0	2	0	0	0	0	1	0
"B0284.2"	2	3	2	1	1	4	4	1	2	2	1	0
"B0284.3"	11725	10548	7326	6077	6797	6997	4509	5102	8260	11352	6975	5251
"B0284.5"	2	1	0	1	0	1	0	1	5	0	0	1
"B0285.10"	0	1	1	0	0	1	0	2	0	1	0	2
"B0285.12"	0	0	0	0	0	0	0	0	2	0	0	0
"B0285.1b"	3	9	6	1	3	3	3	1	7	5	4	3
"B0285.3"	317	212	113	71	219	111	77	54	92	125	94	68
"B0285.4"	194	153	88	68	80	72	38	58	118	127	95	62
"B0285.5"	395	287	160	149	246	170	100	103	245	259	175	142
"B0285.6"	1	0	1	0	0	0	0	0	0	0	1	0
"B0285.7"	1146	500	205	141	656	395	193	389	753	1016	573	518
"B0285.8"	1	5	1	2	1	0	0	1	0	0	2	1
"B0285.9"	43	41	14	15	19	15	6	5	22	9	4	9
"B0286.1"	406	235	91	117	311	98	50	107	298	441	183	202
"B0286.3"	33	15	14	7	16	11	8	4	12	15	11	5
"B0286.4d.1"	2	2	1	0	4	2	2	0	1	1	1	0
"B0286.5"	2	0	0	0	1	1	0	0	0	1	0	0
"B0302.2"	4	1	0	2	2	1	2	2	1	0	2	1
"B0302.3"	2	1	3	0	0	1	1	1	0	2	1	1
"B0302.4"	83	77	32	29	26	56	30	6	28	27	24	22
"B0302.5"	0	0	0	0	1	0	0	0	0	0	0	0
"B0303.11b"	4	1	0	0	2	0	0	0	2	1	0	0
"B0303.14"	27	9	5	9	6	8	6	5	7	19	9	9
"B0303.15"	94	70	40	19	52	34	22	18	61	26	29	36
"B0303.2"	6010	4159	2125	1752	4008	2476	1756	2151	4475	5546	3316	2388
"B0303.3.2"	322	217	108	109	155	104	76	49	148	126	98	97
"B0303.4.2"	193	108	64	48	109	70	40	49	98	79	76	55
"B0303.5"	0	1	1	0	0	0	0	0	0	2	0	0
"B0303.8"	10	1	1	3	5	2	1	1	0	2	2	2
"B0303.9"	415	260	130	122	228	112	102	73	161	169	125	130
"B0304.1c"	3	1	0	1	0	1	1	1	1	0	0	0
"B0304.2"	235	218	107	132	150	120	86	102	222	212	172	100
"B0304.4"	140	92	78	77	84	67	32	35	84	91	64	52
"B0304.5"	0	0	0	0	0	0	0	0	0	0	0	2
"B0304.6"	1	5	0	1	1	0	0	1	0	5	1	0
"B0304.8"	1149	826	493	367	743	423	382	374	694	918	582	451
"B0304.9"	0	0	1	0	0	0	0	0	0	0	0	0
"B0310.1b"	3	3	0	1	0	0	0	0	0	0	0	1
"B0310.2"	1	3	0	1	1	2	4	2	0	4	3	0
"B0310.5"	5	2	0	1	1	0	1	1	1	2	1	0
"B0331.1"	19	9	5	6	7	4	5	2	6	6	7	0
"B0334.1.2"	0	3	0	0	0	1	0	0	0	1	0	0
"B0334.10"	4	0	1	3	3	1	2	0	1	0	0	0
"B0334.11a"	2	2	0	1	0	0	0	0	0	1	0	2
"B0334.13"	0	3	0	0	0	0	0	1	0	0	0	0
"B0334.15"	95	83	45	45	58	39	28	31	46	80	41	35
"B0334.17"	0	0	0	0	0	0	0	0	0	0	0	1
"B0334.2b.2"	3	3	0	4	2	0	1	0	0	0	0	1
"B0334.4"	184	106	65	44	82	61	41	43	100	76	72	57
"B0334.5"	84	51	39	30	37	36	29	35	50	48	33	33
"B0334.6"	2	1	1	1	2	1	0	1	2	1	1	0
"B0334.7"	9	3	3	1	1	0	1	0	2	1	1	1
"B0334.8a"	307	236	152	114	128	126	73	76	181	98	99	103
"B0334.9"	34	43	20	12	18	20	11	23	31	55	35	22
"B0336.10.3"	0	0	0	0	1	0	0	0	0	0	0	0
"B0336.11a"	3	0	1	0	2	0	1	1	0	1	0	0
"B0336.13"	166	69	33	26	110	28	17	22	44	31	14	23
"B0336.1a"	2	1	0	1	2	1	0	0	0	2	1	0
"B0336.2.1"	8	4	3	2	1	4	5	1	10	3	5	1
