ID mean fc padj line1 line2
B0261.8 10.490787900927 -2.03786377781927 8.95838223022304e-06 A25 B25
B0348.5a 7.07166289497822 1.92041051890704 0.00372414468512305 A25 B25
C05D11.13 7.12382409703644 2.98430856381289 1.5318341747768e-08 A25 B25
C07G3.9.2 9.97839692711084 2.66699207188845 4.84997633535973e-08 A25 B25
C13B9.1 6.23196219736451 -2.06864169245324 0.00655785886068043 A25 B25
C45E1.1a 5.26311439114891 2.61331895844013 6.39238362792935e-05 A25 B25
C46F11.6 8.59130266553534 1.83259815437215 0.00464232653019647 A25 B25
C55C3.7 7.01449000688889 8.00889998178969 4.14022633932763e-67 A25 B25
C56G7.3c 8.02043107858795 -1.98357007187505 0.00272914419001432 A25 B25
F07D10.1 8.45119619205417 3.04692433730538 9.57925237919035e-10 A25 B25
F23A7.7 12.3633475693246 -1.16602110332926 0.00150879193057978 A25 B25
F23B12.4c.2 7.82321783071209 1.92537342388645 0.00242695230874314 A25 B25
F36A2.3 11.1065535107856 -1.60695885091642 0.000429724636334812 A25 B25
F42G8.11 5.9043683220438 2.63574296849175 1.76424591073539e-05 A25 B25
F42G8.5 7.30345277721658 2.63446085372516 1.29447180218078e-06 A25 B25
F56D12.4a 8.64490820025398 1.90141024495565 0.00252730858242543 A25 B25
M01E11.4c 8.37002634438023 3.10325654526043 4.53973974186374e-10 A25 B25
R10F2.1 10.451624552619 2.35191754750952 2.82863374852208e-06 A25 B25
R11E3.3 6.25709953410206 1.9176546597575 0.00892698797611036 A25 B25
T03F6.1 12.9402354539837 -1.23314380832986 1.63366387081738e-05 A25 B25
T05G5.4 5.9923618403517 4.22128423657346 1.4819336625162e-15 A25 B25
T10D4.5 5.90187983577354 -4.28076150678958 3.66500690831987e-15 A25 B25
T28B8.1.2 5.75541920369634 2.19561363661219 0.00184758256481983 A25 B25
W03C9.6.2 8.2948618553549 1.88348430438833 0.00303315097740632 A25 B25
Y71G12B.11e 5.84492064002417 2.23472383500624 0.0012551513579578 A25 B25
ZC190.7 4.30241512266871 3.52076388247819 1.69931977037512e-07 A25 B25
ZC190.8 6.35695375604174 2.11665576366823 0.00158024003430702 A25 B25
ZK1098.6 5.53934112857487 2.38224557620857 0.000454145340208212 A25 B25
C02F5.10 7.95737555434413 3.27173892937417 8.94081484406137e-28 A25 C25
C03E10.3 7.68599103148782 1.621942827662 1.2335727608378e-05 A25 C25
C05D11.13 6.29882151205243 2.01130968557086 1.98608293602713e-05 A25 C25
C39B5.3 8.12225432502342 -1.62255776227928 1.04484208057819e-06 A25 C25
C48D1.6 5.98940705154469 -2.16996674848938 9.54610507329095e-06 A25 C25
C55C3.7 3.02031467848265 3.92854946910801 0.00185925572593362 A25 C25
