PMA	A25	A100	B25	B100	C25	C100	D25	D100	F25	F100	G25	G100	H25	H100	I25	I100	J25	J100	K25	K100	L25	L100
PMA	0	25	100	25	100	25	100	25	100	25	100	25	100	25	100	25	100	25	100	25	100	25	100
A25	25	0	75	50	125	50	125	50	125	50	125	50	125	50	125	50	125	50	125	50	125	50	125
A100	100	75	0	125	200	125	200	125	200	125	200	125	200	125	200	125	200	125	200	125	200	125	200
B25	25	50	125	0	75	50	125	50	125	50	125	50	125	50	125	50	125	50	125	50	125	50	125
B100	100	125	200	75	0	125	200	125	200	125	200	125	200	125	200	125	200	125	200	125	200	125	200
C25	25	50	125	50	125	0	75	50	125	50	125	50	125	50	125	50	125	50	125	50	125	50	125
C100	100	125	200	125	200	75	0	125	200	125	200	125	200	125	200	125	200	125	200	125	200	125	200
D25	25	50	125	50	125	50	125	0	75	50	125	50	125	50	125	50	125	50	125	50	125	50	125
D100	100	125	200	125	200	125	200	75	0	125	200	125	200	125	200	125	200	125	200	125	200	125	200
F25	25	50	125	50	125	50	125	50	125	0	75	50	125	50	125	50	125	50	125	50	125	50	125
F100	100	125	200	125	200	125	200	125	200	75	0	125	200	125	200	125	200	125	200	125	200	125	200
G25	25	50	125	50	125	50	125	50	125	50	125	0	75	50	125	50	125	50	125	50	125	50	125
G100	100	125	200	125	200	125	200	125	200	125	200	75	0	125	200	125	200	125	200	125	200	125	200
H25	25	50	125	50	125	50	125	50	125	50	125	50	125	0	75	50	125	50	125	50	125	50	125
H100	100	125	200	125	200	125	200	125	200	125	200	125	200	75	0	125	200	125	200	125	200	125	200
I25	25	50	125	50	125	50	125	50	125	50	125	50	125	50	125	0	75	50	125	50	125	50	125
I100	100	125	200	125	200	125	200	125	200	125	200	125	200	125	200	75	0	125	200	125	200	125	200
J25	25	50	125	50	125	50	125	50	125	50	125	50	125	50	125	50	125	0	75	50	125	50	125
J100	100	125	200	125	200	125	200	125	200	125	200	125	200	125	200	125	200	75	0	125	200	125	200
K25	25	50	125	50	125	50	125	50	125	50	125	50	125	50	125	50	125	50	125	0	75	50	125
K100	100	125	200	125	200	125	200	125	200	125	200	125	200	125	200	125	200	125	200	75	0	125	200
L25	25	50	125	50	125	50	125	50	125	50	125	50	125	50	125	50	125	50	125	50	125	0	75
L100	100	125	200	125	200	125	200	125	200	125	200	125	200	125	200	125	200	125	200	125	200	75	0
