ID	up_or_down	duration	completeness	stgen	ID
B0348.5a	1	8	0	5	B0348.5
B0454.9	2	6	1	4	B0454.9
B0454.9	1	3	0	10	B0454.9
C03E10.3	2	3	0	10	C03E10.3
C04A2.1.1	2	1	1	3	C04A2.1
C04A2.1.1	1	7	1	4	C04A2.1
C04A2.1.1	2	1	1	11	C04A2.1
C04A2.1.1	1	1	0	12	C04A2.1
C04F12.5	2	3	1	9	C04F12.5
C04F12.5	1	1	0	12	C04F12.5
C05C10.4.3	1	7	0	6	C05C10.4
C05D11.13	2	9	0	4	C05D11.13
C06A1.3	1	12	0	1	C06A1.3
C06H2.4	1	4	0	9	C06H2.4
C14F5.3d	2	3	1	5	C14F5.3
C14F5.3d	1	5	0	8	C14F5.3
C16H3.3a	1	3	0	10	C16H3.3
C18D4.6c	2	12	0	1	C18D4.6
C27D8.3b	2	7	0	6	C27D8.3
C45E1.1a	2	1	0	12	C45E1.1
C55C3.3	2	2	0	11	C55C3.3
D2096.1a	1	12	0	1	D2096.1
EEED8.8	2	2	1	6	EEED8.8
EEED8.8	1	5	0	8	EEED8.8
F01F1.3	2	2	0	11	F01F1.3
F08G12.4	2	5	1	5	F08G12.4
F08G12.4	1	3	0	10	F08G12.4
F17A9.4	1	12	0	1	F17A9.4
F28F8.6.1	2	12	0	1	F28F8.6
F29C12.1a	1	2	1	3	F29C12.1
F29C12.1a	2	6	1	5	F29C12.1
F29C12.1a	1	2	0	11	F29C12.1
F31B9.3	1	10	0	3	F31B9.3
F31C3.11	2	12	0	1	F31C3.11
F31C3.9	1	12	0	1	F31C3.9
F32A7.6	1	12	0	1	F32A7.6
F32B6.9	2	8	0	5	F32B6.9
F35F11.2	1	4	0	9	F35F11.2
F40D4.17	2	1	1	1	F40D4.17
F40D4.17	1	9	1	2	F40D4.17
F40D4.17	2	1	1	11	F40D4.17
F40D4.17	1	1	0	12	F40D4.17
F42G8.4b.1	2	2	0	11	F42G8.4
F47A4.5	2	2	1	2	F47A4.5
F47A4.5	1	2	1	4	F47A4.5
F47A4.5	2	4	1	6	F47A4.5
F47A4.5	1	3	0	10	F47A4.5
F49C5.4	1	2	1	2	F49C5.4
F49C5.4	2	2	1	4	F49C5.4
F49C5.4	1	4	1	6	F49C5.4
F49C5.4	2	3	0	10	F49C5.4
F52D2.12	1	3	1	1	F52D2.12
F52D2.12	2	1	1	4	F52D2.12
F52D2.12	1	8	0	5	F52D2.12
F53H10.2a	2	3	1	3	F53H10.2
F53H10.2a	1	7	0	6	F53H10.2
F54D10.3	2	2	1	4	F54D10.3
F54D10.3	1	7	0	6	F54D10.3
F56D12.4a	1	1	0	12	F56D12.4
F57A10.2	1	4	0	9	F57A10.2
F57F5.1	2	5	0	8	F57F5.1
F59H6.2	1	7	0	6	F59H6.2
K08A2.4	2	1	0	12	K08A2.4
K08B4.6	2	3	0	10	K08B4.6
K09E3.4	1	7	1	3	K09E3.4
K09E3.4	2	3	0	10	K09E3.4
K10B4.6a	2	12	0	1	K10B4.6
M142.6c	2	1	1	8	M142.6
M142.6c	1	4	0	9	M142.6
M88.7	1	4	1	4	M88.7
M88.7	2	5	0	8	M88.7
R01H10.6	2	2	1	4	R01H10.6
R01H10.6	1	7	0	6	R01H10.6
R05G6.5	2	5	0	8	R05G6.5
R07E5.4	2	7	0	6	R07E5.4
R07H5.9	1	1	1	1	R07H5.9
R07H5.9	2	1	1	2	R07H5.9
R07H5.9	1	10	0	3	R07H5.9
R11G10.3	2	5	0	8	R11G10.3
T05C3.6a	1	4	1	4	T05C3.6
T05C3.6a	2	5	0	8	T05C3.6
T07F10.6	2	5	0	8	T07F10.6
T12B5.1	2	1	1	4	T12B5.1
T12B5.1	1	1	1	5	T12B5.1
T12B5.1	2	2	1	6	T12B5.1
