ID	up_or_down	duration	completeness	stgen	ID
B0285.7	2	5	0	8	B0285.7
B0454.9	2	1	1	4	B0454.9
B0454.9	1	8	0	5	B0454.9
B0507.1	2	5	1	6	B0507.1
B0507.1	1	2	0	11	B0507.1
B0511.11	1	9	0	4	B0511.11
C03E10.3	2	3	0	10	C03E10.3
C04A2.1.1	2	2	1	6	C04A2.1
C04A2.1.1	1	5	0	8	C04A2.1
C04F12.5	2	3	1	3	C04F12.5
C04F12.5	1	7	0	6	C04F12.5
C05E11.1	2	5	1	6	C05E11.1
C05E11.1	1	2	0	11	C05E11.1
C06A1.3	1	11	0	2	C06A1.3
C06H2.4	1	4	0	9	C06H2.4
C09F5.1	2	8	0	5	C09F5.1
C14F5.3d	2	2	1	9	C14F5.3
C14F5.3d	1	2	0	11	C14F5.3
C16H3.3a	1	5	0	8	C16H3.3
C27D8.3b	2	11	0	2	C27D8.3
C28A5.4	1	12	0	1	C28A5.4
C28C12.1c	2	9	0	4	C28C12.1
C34C12.9	2	3	1	2	C34C12.9
C34C12.9	1	8	0	5	C34C12.9
C45E1.1a	1	5	0	8	C45E1.1
C47B2.8	2	10	0	3	C47B2.8
C48E7.11	1	2	1	1	C48E7.11
C48E7.11	2	1	1	3	C48E7.11
C48E7.11	1	9	0	4	C48E7.11
C53B7.4	2	8	1	2	C53B7.4
C53B7.4	1	3	0	10	C53B7.4
D2096.1a	1	9	1	1	D2096.1
D2096.1a	2	3	0	10	D2096.1
EEED8.8	2	3	1	6	EEED8.8
EEED8.8	1	4	0	9	EEED8.8
F08B4.2c	1	3	1	1	F08B4.2
F08B4.2c	2	6	1	4	F08B4.2
F08B4.2c	1	3	0	10	F08B4.2
F08G12.4	2	2	1	6	F08G12.4
F08G12.4	1	5	0	8	F08G12.4
F11A6.2	2	5	0	8	F11A6.2
F13H8.8	2	2	0	11	F13H8.8
F15E6.12	1	7	0	6	F15E6.12
F17A9.4	1	12	0	1	F17A9.4
F19B2.6	1	4	0	9	F19B2.6
F20D12.5	1	3	1	1	F20D12.5
F20D12.5	2	9	0	4	F20D12.5
F29C12.1a	2	9	1	1	F29C12.1
F29C12.1a	1	3	0	10	F29C12.1
F31B9.3	1	3	0	10	F31B9.3
F31C3.9	1	12	0	1	F31C3.9
F32A7.6	1	1	1	1	F32A7.6
F32A7.6	2	1	1	2	F32A7.6
F32A7.6	1	8	1	3	F32A7.6
F32A7.6	2	1	1	11	F32A7.6
F32A7.6	1	1	0	12	F32A7.6
F32B6.9	2	7	0	6	F32B6.9
F35F11.2	1	2	0	11	F35F11.2
F37D6.6	2	6	1	3	F37D6.6
F37D6.6	1	4	0	9	F37D6.6
F39C12.1	1	3	0	10	F39C12.1
F39E9.6	2	1	1	4	F39E9.6
F39E9.6	1	1	1	5	F39E9.6
F39E9.6	2	2	1	6	F39E9.6
F39E9.6	1	2	1	8	F39E9.6
F39E9.6	2	1	1	10	F39E9.6
F39E9.6	1	2	0	11	F39E9.6
F42G8.4b.1	2	1	1	10	F42G8.4
F42G8.4b.1	1	2	0	11	F42G8.4
F44G3.6.2	2	5	1	5	F44G3.6
F44G3.6.2	1	3	0	10	F44G3.6
F47A4.5	1	3	0	10	F47A4.5
F47B10.1	2	3	1	2	F47B10.1
F47B10.1	1	4	1	5	F47B10.1
F47B10.1	2	4	0	9	F47B10.1
F49C5.4	2	5	1	1	F49C5.4
F49C5.4	1	7	0	6	F49C5.4
F52D2.12	1	3	1	1	F52D2.12
F52D2.12	2	1	1	4	F52D2.12
F52D2.12	1	8	0	5	F52D2.12
F53H10.2a	2	2	1	4	F53H10.2
F53H10.2a	1	7	0	6	F53H10.2
F54D10.3	2	1	1	4	F54D10.3
F54D10.3	1	8	0	5	F54D10.3
F55C9.1	2	3	1	6	F55C9.1
F55C9.1	1	4	0	9	F55C9.1
K08A2.4	2	11	0	2	K08A2.4
K08B4.6	2	7	0	6	K08B4.6
K09E3.4	1	2	1	8	K09E3.4
K09E3.4	2	3	0	10	K09E3.4
K10B4.6a	2	7	0	6	K10B4.6
M01D7.5	1	7	0	6	M01D7.5
M142.6c	2	3	1	6	M142.6
M142.6c	1	4	0	9	M142.6
M88.7	2	11	0	2	M88.7
R05G6.5	2	7	0	6	R05G6.5
R07H5.9	2	1	1	2	R07H5.9
R07H5.9	1	7	1	3	R07H5.9
R07H5.9	2	1	1	10	R07H5.9
R07H5.9	1	2	0	11	R07H5.9
R11G10.3	2	7	0	6	R11G10.3
T05C3.6a	1	10	0	3	T05C3.6
T06C12.7	1	4	0	9	T06C12.7
T13H2.5a	2	4	1	6	T13H2.5
T13H2.5a	1	3	0	10	T13H2.5
T24A11.3	2	3	1	5	T24A11.3
T24A11.3	1	2	1	8	T24A11.3
T24A11.3	2	1	1	10	T24A11.3
T24A11.3	1	1	1	11	T24A11.3
T24A11.3	2	1	0	12	T24A11.3
T26C11.5	1	4	1	8	T26C11.5
T26C11.5	2	1	0	12	T26C11.5
T26C11.9	2	1	0	12	T26C11.9
VF11C1L.1	1	3	0	10	VF11C1L.1
W02G9.1	2	10	0	3	W02G9.1
