ID up_or_down duration completeness stgen up_or_do
A2 B0285.7 2 1 1 1 B0285.7
A3 B0285.7 1 1 1 2 B0285.7
A4 B0285.7 2 1 1 3 B0285.7
A8 B0285.7 1 4 1 4 B0285.7
A9 B0285.7 2 1 1 8 B0285.7
A10 B0285.7 1 1 1 9 B0285.7
A13 B0285.7 2 3 0 10 B0285.7
A131 B0348.5a 1 9 0 4 B0348.5
A101 B0454.9 2 6 1 4 B0454.9
A132 B0454.9 1 3 0 10 B0454.9
A133 C03E10.3 2 2 0 11 C03E10.3
A43 C04A2.1.1 2 1 1 3 C04A2.1
A111 C04A2.1.1 1 7 1 4 C04A2.1
A12 C04A2.1.1 2 1 1 11 C04A2.1
A134 C04A2.1.1 1 1 0 12 C04A2.1
A102 C04F12.5 2 1 1 9 C04F12.5
A135 C04F12.5 1 3 0 10 C04F12.5
A136 C05C10.4.3 1 12 0 1 C05C10.4
A137 C16H3.3a 1 10 0 3 C16H3.3
A138 C18D4.6c 2 12 0 1 C18D4.6
A139 C27D8.3b 2 5 0 8 C27D8.3
A82 C28A5.4 1 3 1 5 C28A5.4
A92 C28A5.4 2 1 1 8 C28A5.4
A103 C28A5.4 1 1 1 9 C28A5.4
A121 C28A5.4 2 2 1 10 C28A5.4
A1310 C28A5.4 1 1 0 12 C28A5.4
A44 C34C12.9 1 3 1 1 C34C12.9
A122 C34C12.9 2 8 1 4 C34C12.9
A1311 C34C12.9 1 1 0 12 C34C12.9
A1312 C47B2.8 2 1 0 12 C47B2.8
A51 C48E7.11 1 2 1 3 C48E7.11
A6 C48E7.11 2 1 1 5 C48E7.11
A83 C48E7.11 1 2 1 6 C48E7.11
A112 C48E7.11 2 3 1 8 C48E7.11
A1313 C48E7.11 1 2 0 11 C48E7.11
A93 D2096.1a 2 1 1 8 D2096.1
A104 D2096.1a 1 1 1 9 D2096.1
A1314 D2096.1a 2 3 0 10 D2096.1
A85 EEED8.8 2 2 1 6 EEED8.8
A1315 EEED8.8 1 5 0 8 EEED8.8
