ID up_or_down duration completeness stgen up_or_do
B11 B0285.7 2 1 1 10 B0285.7
B12 B0285.7 1 1 1 11 B0285.7
B13 B0285.7 2 1 0 12 B0285.7
B6 B0348.5a 1 1 1 5 B0348.5
B131 B0348.5a 2 7 0 6 B0348.5
B51 B0454.9 2 1 1 4 B0454.9
B132 B0454.9 1 8 0 5 B0454.9
B111 B0507.1 2 5 1 6 B0507.1
B133 B0507.1 1 2 0 11 B0507.1
B121 C03E10.3 2 2 1 10 C03E10.3
B134 C03E10.3 1 1 0 12 C03E10.3
B8 C04A2.1.1 2 2 1 6 C04A2.1
B135 C04A2.1.1 1 5 0 8 C04A2.1
B63 C04F12.5 2 3 1 3 C04F12.5
B136 C04F12.5 1 7 0 6 C04F12.5
B112 C05E11.1 2 5 1 6 C05E11.1
B137 C05E11.1 1 2 0 11 C05E11.1
B138 C06A1.3 1 11 0 2 C06A1.3
B81 C09F5.1 2 3 1 5 C09F5.1
B139 C09F5.1 1 5 0 8 C09F5.1
B41 C16H3.3a 2 3 1 1 C16H3.3
B1310 C16H3.3a 1 9 0 4 C16H3.3
B65 C18D4.6c 2 1 1 5 C18D4.6
B1311 C18D4.6c 1 7 0 6 C18D4.6
B42 C27D8.3b 2 1 1 3 C27D8.3
B54 C27D8.3b 1 1 1 4 C27D8.3
B1312 C27D8.3b 2 8 0 5 C27D8.3
B1313 C28A5.4 1 12 0 1 C28A5.4
B55 C28C12.1c 2 1 1 4 C28C12.1
B9 C28C12.1c 1 4 1 5 C28C12.1
B1314 C28C12.1c 2 4 0 9 C28C12.1
B102 C34C12.9 1 4 1 6 C34C12.9
B113 C34C12.9 2 1 1 10 C34C12.9
B1315 C34C12.9 1 2 0 11 C34C12.9
B56 C45E1.1a 2 2 1 3 C45E1.1
B1316 C45E1.1a 1 8 0 5 C45E1.1
B1317 C47B2.8 2 11 0 2 C47B2.8
B67 C48E7.11 1 1 1 5 C48E7.11
B114 C48E7.11 2 5 1 6 C48E7.11
B122 C48E7.11 1 1 1 11 C48E7.11
B1318 C48E7.11 2 1 0 12 C48E7.11
B33 C53B7.4 2 1 1 2 C53B7.4
B44 C53B7.4 1 1 1 3 C53B7.4
B103 C53B7.4 2 6 1 4 C53B7.4
B1319 C53B7.4 1 3 0 10 C53B7.4
B23 C55C3.3 1 1 1 1 C55C3.3
B34 C55C3.3 2 1 1 2 C55C3.3
B45 C55C3.3 1 1 1 3 C55C3.3
B58 C55C3.3 2 1 1 4 C55C3.3
B91 C55C3.3 1 4 1 5 C55C3.3
B123 C55C3.3 2 3 1 9 C55C3.3
B1320 C55C3.3 1 1 0 12 C55C3.3
B46 D2096.1a 2 1 1 3 D2096.1
B59 D2096.1a 1 1 1 4 D2096.1
B1321 D2096.1a 2 8 0 5 D2096.1
B92 EEED8.8 2 3 1 6 EEED8.8
B1322 EEED8.8 1 4 0 9 EEED8.8
B510 F08B4.2c 2 1 1 4 F08B4.2
B69 F08B4.2c 1 1 1 5 F08B4.2
B93 F08B4.2c 2 3 1 6 F08B4.2
B1323 F08B4.2c 1 4 0 9 F08B4.2
B82 F08G12.4 2 2 1 6 F08G12.4
B94 F08G12.4 1 1 1 8 F08G12.4
B104 F08G12.4 2 1 1 9 F08G12.4
B1324 F08G12.4 1 3 0 10 F08G12.4
B511 F11A6.2 2 1 1 4 F11A6.2
B83 F11A6.2 1 3 1 5 F11A6.2
B1325 F11A6.2 2 5 0 8 F11A6.2
B1326 F19B2.6 1 4 0 9 F19B2.6
B49 F20D12.5 1 3 1 1 F20D12.5
B512 F20D12.5 2 1 1 4 F20D12.5
B611 F20D12.5 1 1 1 5 F20D12.5
B1327 F20D12.5 2 7 0 6 F20D12.5
B513 F28F8.6.1 2 1 1 4 F28F8.6
B1328 F28F8.6.1 1 8 0 5 F28F8.6
B105 F29C12.1a 2 9 1 1 F29C12.1
B1329 F29C12.1a 1 3 0 10 F29C12.1
B612 F31B9.3 1 1 1 5 F31B9.3
B96 F31B9.3 2 3 1 6 F31B9.3
B1330 F31B9.3 1 4 0 9 F31B9.3
B1331 F31C3.9 1 11 0 2 F31C3.9
B515 F35F11.2 2 1 1 4 F35F11.2
B84 F35F11.2 1 3 1 5 F35F11.2
B106 F35F11.2 2 2 1 8 F35F11.2
B1332 F35F11.2 1 3 0 10 F35F11.2
B97 F37D6.6 2 6 1 3 F37D6.6
B1333 F37D6.6 1 4 0 9 F37D6.6
B98 F39C12.1 2 3 1 6 F39C12.1
B1334 F39C12.1 1 4 0 9 F39C12.1
B85 F40E3.5.2 2 2 1 6 F40E3.5
B1335 F40E3.5.2 1 5 0 8 F40E3.5
B107 F44G3.6.2 2 4 1 6 F44G3.6
B1336 F44G3.6.2 1 3 0 10 F44G3.6
B412 F47A4.5 2 2 1 2 F47A4.5
B516 F47A4.5 1 1 1 4 F47A4.5
B108 F47A4.5 2 5 1 5 F47A4.5
B1337 F47A4.5 1 3 0 10 F47A4.5
B517 F47B10.1 2 3 1 2 F47B10.1
B99 F47B10.1 1 4 1 5 F47B10.1
B1338 F47B10.1 2 4 0 9 F47B10.1
B413 F52D2.12 1 3 1 1 F52D2.12
B518 F52D2.12 2 1 1 4 F52D2.12
B1339 F52D2.12 1 8 0 5 F52D2.12
B616 F53H10.2a 2 2 1 4 F53H10.2
B1340 F53H10.2a 1 7 0 6 F53H10.2
B519 F54D10.3 2 1 1 4 F54D10.3
B1341 F54D10.3 1 8 0 5 F54D10.3
B910 F55C9.1 2 3 1 6 F55C9.1
B1342 F55C9.1 1 4 0 9 F55C9.1
B37 F57A10.2 2 1 1 2 F57A10.2
B1343 F57A10.2 1 10 0 3 F57A10.2
B38 F57F5.1 1 1 1 2 F57F5.1
B911 F57F5.1 2 6 1 3 F57F5.1
B109 F57F5.1 1 1 1 9 F57F5.1
B124 F57F5.1 2 2 1 10 F57F5.1
B1344 F57F5.1 1 1 0 12 F57F5.1
B29 K03H6.5b 1 1 1 1 K03H6.5
B39 K03H6.5b 2 1 1 2 K03H6.5
B416 K03H6.5b 1 1 1 3 K03H6.5
B520 K03H6.5b 2 1 1 4 K03H6.5
B86 K03H6.5b 1 3 1 5 K03H6.5
B912 K03H6.5b 2 1 1 8 K03H6.5
B1010 K03H6.5b 1 1 1 9 K03H6.5
B115 K03H6.5b 2 1 1 10 K03H6.5
B1345 K03H6.5b 1 2 0 11 K03H6.5
B87 K08A2.4 2 5 1 3 K08A2.4
B1011 K08A2.4 1 2 1 8 K08A2.4
B116 K08A2.4 2 1 1 10 K08A2.4
B1346 K08A2.4 1 2 0 11 K08A2.4
B88 K08B4.6 2 2 1 6 K08B4.6
B1012 K08B4.6 1 2 1 8 K08B4.6
B125 K08B4.6 2 2 1 10 K08B4.6
B1347 K08B4.6 1 1 0 12 K08B4.6
B1348 K09E3.4 2 10 0 3 K09E3.4
B1349 M01D7.5 1 9 0 4 M01D7.5
B913 M142.6c 2 3 1 6 M142.6
B1350 M142.6c 1 4 0 9 M142.6
B1351 R05G6.5 2 7 0 6 R05G6.5
B312 R07H5.9 2 1 1 2 R07H5.9
B1352 R07H5.9 1 10 0 3 R07H5.9
B418 R11G10.3 1 2 1 2 R11G10.3
B521 R11G10.3 2 1 1 4 R11G10.3
B621 R11G10.3 1 1 1 5 R11G10.3
B914 R11G10.3 2 3 1 6 R11G10.3
