	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13
A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A3	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A4	3	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A5	4	3	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A6	5	4	3	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A7	6	5	4	3	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A8	7	6	5	4	3	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A9	8	7	6	5	4	3	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A10	9	8	7	6	5	4	3	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A11	10	9	8	7	6	5	4	3	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A12	11	10	9	8	7	6	5	4	3	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A13	12	11	10	9	8	7	6	5	4	3	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B1	2	3	4	5	6	7	8	9	10	11	12	13	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B2	3	4	5	6	7	8	9	10	11	12	13	14	15	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B3	4	5	6	7	8	9	10	11	12	13	14	15	16	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B4	5	6	7	8	9	10	11	12	13	14	15	16	17	3	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B5	6	7	8	9	10	11	12	13	14	15	16	17	18	4	3	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
B6	7	8	9	10	11	12	13	14	15	16	17	18	19	5	4	3	2	1	NA	NA	NA	NA	NA	NA	NA	NA
B7	8	9	10	11	12	13	14	15	16	17	18	19	20	6	5	4	3	2	1	NA	NA	NA	NA	NA	NA	NA
B8	9	10	11	12	13	14	15	16	17	18	19	20	21	7	6	5	4	3	2	1	NA	NA	NA	NA	NA	NA
B9	10	11	12	13	14	15	16	17	18	19	20	21	22	8	7	6	5	4	3	2	1	NA	NA	NA	NA	NA
B10	11	12	13	14	15	16	17	18	19	20	21	22	23	9	8	7	6	5	4	3	2	1	NA	NA	NA	NA
B11	12	13	14	15	16	17	18	19	20	21	22	23	24	10	9	8	7	6	5	4	3	2	1	NA	NA	NA
B12	13	14	5	16	17	18	19	20	21	22	23	24	25	11	10	9	8	7	6	5	4	3	2	1	NA	NA
B13	14	15	16	17	18	19	20	21	22	23	24	25	26	12	11	10	9	8	7	6	5	4	3	2	1	NA
