"ID" "up_or_down" "duration" "completeness" "stgen"
"B0511.11" "B0511.11" 1 12 0 1
"C03E10.3" "C03E10.3" 2 1 1 1
"F17A9.4" "F17A9.4" 1 12 0 1
"F31C3.11" "F31C3.11" 2 11 1 1
"F31C3.9" "F31C3.9" 2 1 1 1
"F44G3.6.2" "F44G3.6.2" 1 12 0 1
"K05C4.11" "K05C4.11" 1 12 0 1
"K10B4.6a" "K10B4.6a" 2 1 1 1
"R05G6.5" "R05G6.5" 2 12 0 1
"R07H5.9" "R07H5.9" 1 12 0 1
"T24A11.3" "T24A11.3" 1 12 0 1
"W06H8.6" "W06H8.6" 1 12 0 1
"Y39B6A.25" "Y39B6A.25" 2 1 1 1
"Y40A1A.4" "Y40A1A.4" 1 12 0 1
"Y62E10A.4a" "Y62E10A.4a" 1 12 0 1
"Y67D8A.3" "Y67D8A.3" 1 12 0 1
"C53B7.4" "C53B7.4" 1 11 0 2
"F40E3.5.2" "F40E3.5.2" 2 1 1 2
"K05C4.11.1" "K05C4.11" 2 6 1 2
"R07H5.9.1" "R07H5.9" 2 1 1 2
"T20F5.5" "T20F5.5" 1 2 1 2
"Y37E3.13a" "Y37E3.13a" 2 1 1 2
"C53B7.4.1" "C53B7.4" 2 1 1 3
"F17A9.4.1" "F17A9.4" 1 10 0 3
"F29C12.1a" "F29C12.1a" 1 10 0 3
"R07H5.9.2" "R07H5.9" 1 10 0 3
"T26C11.9" "T26C11.9" 1 10 0 3
"Y47H10A.1" "Y47H10A.1" 1 10 0 3
"C03E10.3.1" "C03E10.3" 2 2 1 4
"C47B2.8" "C47B2.8" 1 8 0 4
"F47A4.5" "F47A4.5" 1 9 0 4
"F54D10.3" "F54D10.3" 2 2 1 4
"F56D12.4a" "F56D12.4a" 1 9 0 4
"R01H10.6" "R01H10.6" 2 2 1 4
"T20F5.5.1" "T20F5.5" 2 1 1 4
"T26C11.9.1" "T26C11.9" 2 4 1 4
"Y119D3B.8" "Y119D3B.8" 2 1 1 4
"Y47H10A.1.1" "Y47H10A.1" 1 9 0 4
"B0348.5a" "B0348.5a" 1 8 0 5
"C47B2.8.1" "C47B2.8" 1 6 1 5
"F08G12.4" "F08G12.4" 2 4 1 5
"R01H10.6.1" "R01H10.6" 2 1 1 5
"T20F5.5.2" "T20F5.5" 1 8 0 5
"T26C11.5" "T26C11.5" 2 1 1 5
"T26C11.9.2" "T26C11.9" 2 1 1 5
"Y119D3B.8.1" "Y119D3B.8" 1 8 0 5
"F40E3.5.2.1" "F40E3.5.2" 1 7 0 6
"F49C5.4" "F49C5.4" 1 7 0 6
"F54D10.3.1" "F54D10.3" 1 7 0 6
"R01H10.6.2" "R01H10.6" 1 7 0 6
"R07E5.4" "R07E5.4" 2 2 1 6
"R11G10.3" "R11G10.3" 2 7 0 6
"T06C12.7" "T06C12.7" 2 2 1 6
"T26C11.5.1" "T26C11.5" 1 7 0 6
"T26C11.9.3" "T26C11.9" 1 7 0 6
"W03F11.5" "W03F11.5" 2 7 0 6
"Y39B6A.25.1" "Y39B6A.25" 1 7 0 6
"Y67D8A.3.1" "Y67D8A.3" 1 7 0 6
"ZC328.5" "ZC328.5" 1 7 0 6
"ZC416.1" "ZC416.1" 2 7 0 6
"C05D11.13" "C05D11.13" 2 1 1 8
"C47B2.8.2" "C47B2.8" 2 5 0 8
"EEED8.8" "EEED8.8" 1 5 0 8
"F44G3.6.2.1" "F44G3.6.2" 2 1 1 8
"F57F5.1" "F57F5.1" 2 5 0 8
"R11G10.3.1" "R11G10.3" 2 1 1 8
"T05C3.6a" "T05C3.6a" 2 1 1 8
"W03F11.5.1" "W03F11.5" 2 1 1 8
"Y22F5A.3b" "Y22F5A.3b" 2 1 1 8
"Y37E3.13a.1" "Y37E3.13a" 2 5 0 8
"Y39B6A.25.2" "Y39B6A.25" 2 1 1 8
"Y39G10AR.17" "Y39G10AR.17" 2 3 1 8
"Y48B6A.10" "Y48B6A.10" 2 1 1 8
"Y67D8A.3.2" "Y67D8A.3" 2 1 1 8
"ZC123.4c" "ZC123.4c" 2 1 1 8
"ZK1010.5" "ZK1010.5" 2 2 1 8
"C05D11.13.1" "C05D11.13" 1 4 0 9
"C47B2.8.3" "C47B2.8" 2 1 1 9
"F37D6.6" "F37D6.6" 1 4 0 9
"F49E11.2" "F49E11.2" 1 4 0 9
"F57A10.2" "F57A10.2" 1 4 0 9
"T26C12.4" "T26C12.4" 1 4 0 9
"W02D7.5" "W02D7.5" 2 3 1 9
"Y110A7A.20" "Y110A7A.20" 2 1 1 9
"Y39B6A.25.3" "Y39B6A.25" 1 4 0 9
"Y48B6A.10.1" "Y48B6A.10" 1 4 0 9
"Y48G9A.7" "Y48G9A.7" 2 1 1 9
"Y73F8A.31" "Y73F8A.31" 1 4 0 9
"C05D11.13.2" "C05D11.13" 2 1 1 10
"C28A5.4" "C28A5.4" 2 1 1 10
"C47B2.8.4" "C47B2.8" 1 2 0 10
"F49C5.4.1" "F49C5.4" 2 2 1 10
"F49E8.6" "F49E8.6" 2 1 1 10
"F57A10.2.1" "F57A10.2" 2 1 1 10
"K08B4.6" "K08B4.6" 2 2 1 10
"R07E5.4.1" "R07E5.4" 2 2 1 10
