"V1" "V11"
"1" "Gene name" "WormBase ID (WS240)"
"2" "aap-1" "WBGene00000001"
"3" "aat-1" "WBGene00000002"
"4" "aat-2" "WBGene00000003"
"5" "aat-3" "WBGene00000004"
"6" "aat-4" "WBGene00000005"
"7" "aat-5" "WBGene00000006"
"8" "aat-6" "WBGene00000007"
"9" "aat-9" "WBGene00000010"
"10" "abl-1" "WBGene00000018"
"11" "abt-1" "WBGene00000019"
"12" "abt-2" "WBGene00000020"
"13" "abt-3" "WBGene00000021"
"14" "abt-4" "WBGene00000022"
"15" "abt-5" "WBGene00000023"
"16" "ace-2" "WBGene00000036"
"17" "aco-1" "WBGene00000040"
"18" "aco-2" "WBGene00000041"
"19" "acr-11" "WBGene00000050"
"20" "acr-16" "WBGene00000055"
"21" "acr-18" "WBGene00000057"
"22" "acr-20" "WBGene00000059"
"23" "act-1" "WBGene00000063"
"24" "act-2" "WBGene00000064"
"25" "act-3" "WBGene00000065"
"26" "act-4" "WBGene00000066"
"27" "act-5" "WBGene00000067"
"28" "acy-1" "WBGene00000068"
"29" "acy-4" "WBGene00000071"
"30" "add-1" "WBGene00000072"
"31" "add-2" "WBGene00000073"
"32" "adm-2" "WBGene00000074"
"33" "adm-4" "WBGene00000075"
"34" "adr-1" "WBGene00000079"
"35" "adr-2" "WBGene00000080"
"36" "ads-1" "WBGene00000081"
"37" "adt-2" "WBGene00000083"
"38" "aex-5" "WBGene00000088"
"39" "aex-6" "WBGene00000089"
"40" "age-1" "WBGene00000090"
"41" "ags-3" "WBGene00000092"
"42" "agt-1" "WBGene00000093"
"43" "agt-2" "WBGene00000094"
"44" "aha-1" "WBGene00000095"
"45" "ahr-1" "WBGene00000096"
"46" "aip-1" "WBGene00000097"
"47" "air-1" "WBGene00000098"
"48" "air-2" "WBGene00000099"
"49" "ajm-1" "WBGene00000100"
"50" "aka-1" "WBGene00000101"
"51" "akt-1" "WBGene00000102"
"52" "akt-2" "WBGene00000103"
