"cosmid_ID" "WBgene_ID" "cosmid_ID_iso" "epimutable_genes" "epimutable_genes_genbygen" "genes_with_heritable_22Gs" "HV22Gs" "piRNA_targets" "csr1_targets" "hrde1_targets" "wago1_targets" "nrde3_targets" "ergo1_targets" "alg34_targets" "PATCs" "any5" "all5" "H3K9me2" "H3K9me3" "active" "border" "regulated" "X"
"1" "2L52.1" "WBGene00007063" "2L52.1a" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE
"2" "2RSSE.1" "WBGene00007064" "2RSSE.1a" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE TRUE FALSE FALSE FALSE FALSE FALSE
"3" "3R5.1" "WBGene00007065" "3R5.1a" TRUE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE TRUE TRUE FALSE FALSE FALSE FALSE
"4" "4R79.1" "WBGene00003525" "4R79.1a" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE
"5" "4R79.2" "WBGene00007067" "4R79.2a" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE
"6" "6R55.2" "WBGene00007069" "6R55.2" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE
"7" "AC3.1" "WBGene00005532" "AC3.1" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE
"8" "AC3.10" "WBGene00004964" "AC3.10" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE
"9" "AC3.12" "WBGene00077503" "AC3.12" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE
"10" "AC3.2" "WBGene00007070" "AC3.2" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE TRUE FALSE
"11" "AC3.3" "WBGene00000024" "AC3.3" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE
"12" "AC3.4" "WBGene00004098" "AC3.4" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE
