ID mean fc padj line1 line2
C03D6.1 8.77906638938727 -2.92007674144178 6.58431393416602e-11 PMA A25
C05D11.13 6.55268292642355 -2.31198953806412 1.64399571351771e-05 PMA A25
C36F7.1 8.84868864019871 -2.19129958642046 1.22884967678508e-05 PMA A25
C45E1.1a 7.91103019302907 -1.77875388095994 0.00214940728082121 PMA A25
C45E1.4 8.52412401325651 -1.91800175562643 0.000431488539964428 PMA A25
F07D10.1 8.15239678844011 -2.69744122881957 4.54645522812304e-09 PMA A25
F08G5.3d 6.92781656550743 -1.92526748911392 0.000701218349218229 PMA A25
F20C5.3c 7.64008766859684 2.20350676646879 4.66076950586865e-05 PMA A25
F22B7.9 6.93777268501239 -2.5364773216038 2.16716847917368e-07 PMA A25
F39E9.6 3.59348075889574 -2.9363655464364 0.00331454263164265 PMA A25
F42G4.6 7.23762735973455 3.44569614360317 5.7924341450813e-14 PMA A25
F44F4.10 4.62434650437689 3.49619993738361 2.13465432983961e-08 PMA A25
T03F6.1 12.833025757129 1.66427603213805 1.31731286619113e-09 PMA A25
T05G5.4 7.0345334500949 -5.29516689911468 1.94470498994918e-36 PMA A25
T10D4.5 5.92004818175488 4.09672320809997 2.02419536251207e-16 PMA A25
T22G5.5a.2 4.45528014047983 2.65654083147593 0.000371160944584207 PMA A25
W02B8.3 4.82784025003072 -2.36788468878516 0.00269489285621559 PMA A25
Y65B4BL.7a 6.83810392204047 1.81027398730213 0.0085128731858396 PMA A25
Y71F9B.15 6.57004982297623 -2.18935666386758 7.07532946252079e-05 PMA A25
Y71G12A.4 5.80051752113485 -2.15106462725811 0.000989077597142196 PMA A25
Y81G3A.1 6.56223056926186 2.63937735510644 6.06651600360244e-07 PMA A25
ZC334.14 4.57471312324235 -2.70169361516982 0.000376377121166572 PMA A25
B0205.12 8.55325012407489 1.0862109017362 0.00600027216858408 PMA B25
B0261.8 9.78419282942263 -1.08021726804967 0.00454441957085213 PMA B25
C03D6.1 8.87304800264611 -2.26309070121901 4.32150166624622e-15 PMA B25
C04C3.5b 9.08032394710806 1.10357478035531 0.00430685341015091 PMA B25
C04C3.6 10.6981882332573 1.16629392030679 0.000786590531926187 PMA B25
C07G3.8b 6.11719248029902 -1.96842257317082 2.61719008142681e-06 PMA B25
C07G3.9.2 10.1366505444924 1.80807413630282 7.4902950197568e-10 PMA B25
C13B9.1 6.47203411263742 -1.75251408953859 1.47129737600779e-05 PMA B25
C15F1.9 11.7938156425993 -1.42465114531437 1.62378802206385e-06 PMA B25
C36F7.1 8.93499525298761 -1.76561550939787 8.51052670569276e-09 PMA B25
C42C1.7a 7.54995926455503 -1.36712060918234 0.000310701997798973 PMA B25
C47G2.7 6.66838816560533 1.22115863016219 0.00708017904806242 PMA B25
C55C3.6a 4.68493929904085 3.39747161281715 1.49670710446797e-12 PMA B25
C55C3.7 7.09838837056374 5.40362409888064 1.75303344828725e-78 PMA B25
F11D11.2 8.26558527589317 -1.14766067087587 0.00367271981651551 PMA B25
F14F11.2 8.86079906517453 1.08292719680097 0.00600027216858408 PMA B25
F22B7.9 7.14780170454833 -1.48970319968126 8.70353683124296e-05 PMA B25
F23A7.7 12.4763864985339 -1.29681286217644 1.60562558329053e-05 PMA B25
F23B12.4c.2 7.96667623174808 1.36314238018618 8.70353683124296e-05 PMA B25
F36A2.3 10.7740153148141 -1.13629230811676 0.00108159467930346 PMA B25
F39E9.6 3.58107798744105 -3.04741540232131 5.60703494734257e-05 PMA B25
F42G8.11 6.12467951610453 1.53002475437608 0.00066220850986112 PMA B25
F46G11.11 6.06891610492981 -2.1742613695258 1.06283449584873e-07 PMA B25
F54F7.7 9.72620503218923 -1.04822289583072 0.00739609879434255 PMA B25
F59A7.9 6.48227245586765 1.24634646688143 0.00782385870582027 PMA B25
K06C4.10 9.36164703053959 1.23940363521815 0.000468590928029194 PMA B25
K10G9.2 9.28561999498718 1.43006529298074 1.23764475901032e-05 PMA B25
K11D2.2.1 9.37545048627158 -1.22326850750154 0.000597973169627289 PMA B25
M01E11.4c 8.60807830527074 1.68750313912376 6.50329535371667e-08 PMA B25
T04D3.4c.2 6.35760892779761 1.83269152089479 2.0699845355441e-06 PMA B25
T11G6.7 4.14881201215776 -2.53148050558209 0.000147201558357426 PMA B25
T16H12.13 6.84067694479276 -1.22952394286962 0.00860270874425307 PMA B25
T28B8.1.2 5.87981692959394 1.63581705746074 0.000390000485797383 PMA B25
T28D6.4 8.76595189926397 -2.36080744373685 2.2618978531558e-16 PMA B25
W02C12.3h.1 8.10506395300479 -1.22257779276589 0.00117688515696598 PMA B25
Y102A5C.36.1 11.1136260544397 -1.15844169511949 0.00066220850986112 PMA B25
Y102A5C.6 8.49679865730073 -1.23321220320215 0.00075467141839749 PMA B25
Y102A5D.5 3.52076945983969 2.71404799079077 0.000598125379439395 PMA B25
Y116A8B.2 5.82252441854039 -1.6471995746267 0.000940424761104101 PMA B25
Y37E3.5c 7.35246452361893 -1.21700633449637 0.00403637928317492 PMA B25
Y38C1AA.4a 6.67538563894244 1.20750394787429 0.00799075628338102 PMA B25
Y46G5A.19b.2 9.13839146372009 1.62971484157553 1.60881399831819e-07 PMA B25
Y53G8AM.1 5.83094748178949 -1.57039320423276 0.00245528227122716 PMA B25
Y65B4BL.7a 7.26675265009002 2.34096576896553 3.70424650557061e-14 PMA B25
Y65B4BR.1 6.98415867261914 1.33071520281885 0.000730092044868773 PMA B25
Y71F9B.13a 7.3530129382922 -1.80874553480838 9.46830372909695e-08 PMA B25
Y71F9B.15 6.52417841793524 -2.46520366436881 3.13103442100878e-12 PMA B25
Y71G12B.11e 10.755839903652 1.55578251821117 2.13193536171062e-07 PMA B25
Y7A5A.22 4.65518295357283 -1.91538363480159 0.00388745775093385 PMA B25
ZC190.7 4.37569697453303 2.85105459355968 2.13193536171062e-07 PMA B25
ZC190.8 6.2209847247804 3.1242515537759 6.43341366876165e-19 PMA B25
ZC53.3 7.25713969375058 -1.196316552272 0.00600027216858408 PMA B25
AH10.4 3.2491080533065 -4.17117109853705 0.00243017174079091 PMA C25
B0284.6 4.94052105264741 2.85243796100552 0.000626961276515202 PMA C25
C02F5.10 8.06136352867595 2.55563047262412 8.13250035309336e-08 PMA C25
C03D6.1 8.81519106375291 -2.63642663134385 8.69865487225701e-09 PMA C25
C04C3.5b 7.70755890467092 -2.211327006383 5.90364302737923e-06 PMA C25
C04C3.6 9.28198915641522 -2.21323711176513 1.44056566642842e-05 PMA C25
C16C8.20 7.45170616702235 2.23154582084725 3.1242971863276e-05 PMA C25
F07D10.1 8.28927745508159 -1.89413496048163 0.000348255888927354 PMA C25
F23B12.4c.2 8.28225524374098 1.78490258848402 0.00243017174079091 PMA C25
F31C3.13 11.6284978919038 5.78828795963118 8.367169494036e-24 PMA C25
F31C3.16 9.93669699437485 5.79032765154478 2.90105288474753e-42 PMA C25
F52C12.3 7.03729789225988 1.9356103264323 0.00243017174079091 PMA C25
T05G5.4 7.08736317706553 -3.97221266810754 4.67013248674083e-20 PMA C25
T10D4.5 5.23310289245095 3.35741379285693 9.89006800551887e-07 PMA C25
T28D6.4 8.68673254033805 -2.93401499982409 2.61967519268036e-11 PMA C25
Y102A5D.5 4.23183115524347 3.50822643439074 0.000216933405917472 PMA C25
Y17D7C.1b 4.5886228319466 -2.96567572152457 0.00243017174079091 PMA C25
Y37E3.5c 7.22719114258475 -1.6839597611847 0.00620697814253494 PMA C25
ZC53.3 6.97115318806549 -2.48926022411354 5.53685589758389e-07 PMA C25
B0261.8 11.0262158366994 1.31265714633028 1.55536181759053e-06 PMA D25
B0416.6 11.561614015694 -0.981034197516378 0.00167685406996584 PMA D25
C03D6.1 9.03898854618005 -1.49160495353909 5.51490971787903e-07 PMA D25
C15F1.9 11.914737249733 -1.02178395219149 0.00041879704741537 PMA D25
C26C6.3 9.87365453790062 1.48642125583138 2.5956921687732e-07 PMA D25
C26H9A.2d.1 6.84494501933969 1.76514545553751 1.15927852588815e-08 PMA D25
C26H9A.3 6.07648566625758 1.77488568881895 9.98893259865639e-07 PMA D25
C36F7.1 8.85523606218729 -2.1552210613748 1.92966216197557e-15 PMA D25
C45E1.1a 8.11637587779907 -1.03216373363656 0.00634914140453938 PMA D25
C45E1.4 8.71872887551937 -1.16086106790821 0.000715763551763772 PMA D25
C46A5.8 7.3191203496113 1.47200719901991 3.47342285395121e-06 PMA D25
