ID	up_or_down	duration	completeness	stgen
B0348.4u	2	9	0	4
B0348.5a	1	8	0	5
B0454.9	2	6	1	4
B0454.9	1	3	0	10
C03E10.3	2	3	0	10
C04F12.5	2	3	1	9
C04F12.5	1	1	0	12
C05C10.4.3	1	7	0	6
C05D11.13	2	9	0	4
C06A1.3	1	12	0	1
C06H2.4	1	4	0	9
C14C11.1	2	5	0	8
C14F5.3d	2	3	1	5
C14F5.3d	1	5	0	8
C16H3.3a	1	3	0	10
C18D4.6c	2	11	0	2
C27D8.3b	2	7	0	6
C30D11.1j	2	3	0	10
C34C12.5.1	2	7	0	6
C36C9.1	1	12	0	1
C45E1.4	2	3	0	10
C52E4.2c	1	7	0	6
C53D6.12	2	4	1	2
C53D6.12	1	7	0	6
C55C3.3	2	2	0	11
C55C3.6a	2	6	1	4
C55C3.6a	1	3	0	10
D2096.3.3	1	4	0	9
F01D4.4.3	1	12	0	1
F01F1.3	2	2	0	11
F08G12.4	2	5	1	5
F08G12.4	1	3	0	10
F17A9.4	1	12	0	1
F22F7.5a	2	5	0	8
F22F7.5b	2	5	0	8
F22H10.10	2	3	1	6
F22H10.10	1	4	0	9
F23F12.3	2	2	1	2
F23F12.3	1	9	0	4
F26D10.9a	1	5	1	1
F26D10.9a	2	5	1	6
F26D10.9a	1	2	0	11
F29B9.9a	2	5	0	8
F31B9.3	1	10	0	3
F31C3.11	2	12	0	1
F31C3.7	2	12	0	1
F32B6.9	2	8	0	5
F33E2.6	2	1	1	3
F33E2.6	1	2	1	4
F33E2.6	2	3	1	6
F33E2.6	1	1	1	9
F33E2.6	2	1	1	10
F33E2.6	1	2	0	11
F35F11.2	1	4	0	9
F48A11.1c	1	6	1	2
F48A11.1c	2	5	0	8
F49C5.4	1	2	1	2
F49C5.4	2	2	1	4
F49C5.4	1	4	1	6
F49C5.4	2	3	0	10
F49C5.t3	2	12	0	1
F52A8.4a	2	9	0	4
F53G12.7a	1	4	0	9
F54D10.3	2	2	1	4
F54D10.3	1	7	0	6
F54D5.15b.2	2	1	1	8
F54D5.15b.2	1	4	0	9
F54E2.3j	1	5	0	8
F56D12.4a	1	1	0	12
F57A10.2	1	4	0	9
F57F5.1	2	5	0	8
F59H6.2	1	7	0	6
H24K24.5a	2	7	0	6
K05C4.11	1	8	0	5
K07A1.17	2	8	0	5
K08A2.4	2	1	0	12
K08B4.6	2	3	0	10
K10B4.6a	2	12	0	1
K10B4.6b	2	3	0	10
K10G6.3r	2	2	0	11
M01E5.1	2	7	1	2
M01E5.1	1	4	0	9
M142.6c	2	1	1	8
M142.6c	1	4	0	9
M88.6a	1	11	0	2
M88.7	1	4	1	4
M88.7	2	5	0	8
R01H10.6	2	2	1	4
R01H10.6	1	7	0	6
R05G6.5	2	5	0	8
R07E5.4	2	7	0	6
R07H5.9	1	1	1	1
R07H5.9	2	1	1	2
R07H5.9	1	10	0	3
R08E3.3b	1	12	0	1
R11G10.3	2	5	0	8
R13F6.9	2	2	1	9
R13F6.9	1	2	0	11
T05C3.6a	1	4	1	4
T05C3.6a	2	5	0	8
T05E11.9	1	2	0	11
T07F10.6	2	5	0	8
T20F5.5	1	2	1	2
T20F5.5	2	1	1	4
T20F5.5	1	8	0	5
T24A11.3	1	9	1	1
T24A11.3	2	2	1	10
T24A11.3	1	1	0	12
T26C11.5	2	2	1	4
T26C11.5	1	7	0	6
T26C11.9	1	4	1	1
T26C11.9	2	1	1	5
T26C11.9	1	3	1	6
T26C11.9	2	1	1	9
T26C11.9	1	3	0	10
W02C12.3h.1	2	1	0	12
W02D3.1	2	1	0	12
W02D7.5	2	2	1	9
W02D7.5	1	2	0	11
W02G9.1	2	12	0	1
W03F11.5	2	5	0	8
W05F2.6a	2	5	0	8
W06H8.6	1	5	1	1
W06H8.6	2	2	1	6
W06H8.6	1	5	0	8
W09B6.5	2	1	1	11
W09B6.5	1	1	0	12
W09H1.2	1	7	1	2
W09H1.2	2	4	0	9
W10D5.1	2	3	0	10
Y102A5C.6	1	12	0	1
Y102A5D.5	2	12	0	1
Y108G3AL.7f	2	2	1	2
Y108G3AL.7f	1	9	0	4
Y110A7A.20	1	8	1	1
Y110A7A.20	2	1	1	9
Y110A7A.20	1	1	1	10
Y110A7A.20	2	2	0	11
Y116A8C.25f.2	2	2	1	3
Y116A8C.25f.2	1	8	0	5
Y119D3B.8	2	1	1	4
Y119D3B.8	1	5	1	5
Y119D3B.8	2	1	1	10
Y119D3B.8	1	2	0	11
Y19D10A.11a	2	10	0	3
Y2H9A.3	2	1	0	12
Y37E11AL.1	2	3	0	10
Y37H2B.1	1	3	0	10
Y38C1AA.4a	1	11	0	2
Y38F2AL.1	2	11	0	2
Y38F2AR.10	2	8	0	5
Y39B6A.47a	2	2	1	2
Y39B6A.47a	1	9	0	4
Y39G10AR.17	2	5	0	8
Y39G10AR.24	2	5	0	8
Y40A1A.4	1	7	0	6
Y41C4A.12a	2	5	0	8
Y45F10A.3b	2	8	0	5
Y47H10A.1	1	10	0	3
Y48B6A.10	1	9	0	4
Y48E1B.11	2	10	0	3
Y48G9A.7	2	1	1	9
Y48G9A.7	1	3	0	10
Y50D7A.7	2	6	1	3
Y50D7A.7	1	4	0	9
Y53F4B.16	2	5	0	8
Y53F4B.45	2	1	1	4
Y53F4B.45	1	8	0	5
Y62E10A.4a	2	1	0	12
Y69A2AR.31	1	5	0	8
Y71A12B.15	1	3	0	10
Y71F9B.13a	2	11	0	2
Y71F9B.15	2	11	0	2
Y71H2AL.1	2	7	0	6
Y75B12B.4	2	3	0	10
Y76A2B.3	2	7	0	6
ZC123.4c	2	10	0	3
ZC317.6	1	7	1	1
ZC317.6	2	5	0	8
ZC334.14	2	5	1	6
ZC334.14	1	2	0	11
ZC416.1	2	5	0	8
ZK218.17	1	12	0	1
ZK662.3b	2	7	1	3
ZK662.3b	1	3	0	10
