ID	up_or_down	duration	completeness	stgen	wilcox_sig	wilcox_dir	mRNA_fold_change	mRNA_before	mRNA_after	22G_fold_change	22G_before	22G_after	MAplot_significant
B0285.7	2	1	1	10	0	0	-0.526645034245282	100.551786756941	69.493912747117	-0.343532761375782	986.654482094613	777.379470947585	0
B0285.7	1	1	1	11	0	0	0.107756425665746	69.493912747117	74.9608005292774	0.146447749512918	777.379470947585	860.542167867101	0
B0285.7	2	1	0	12	0	0	2.11168855512991	74.9608005292774	327.300186611263	-0.619698039769176	860.542167867101	559.69778501893	0
B0348.4u	1	1	1	4	0	0	1.71741798801814	429.980200815829	1416.266913987	-0.890956830934521	429.156967789297	230.964877027794	0
B0348.4u	2	7	1	5	0	0	-0.0253587798397668	1416.266913987	1391.57275856945	0.497514098569311	230.964877027794	326.48310396436	0
B0348.4u	1	1	0	12	0	0	0.636086286219518	882.557349627719	1372.14309002414	-0.832672363463177	230.91768597206	129.219046531514	0
B0348.5a	1	1	1	5	1	-1	0.0987443048763841	11.0645852655234	11.9192527500596	-0.548434749140711	768.251815537367	524.984831174691	0
B0348.5a	2	7	0	6	1	-1	-0.732144958713989	11.9192527500596	6.77749608259652	0.354746302046665	524.984831174691	671.608726384141	0
B0454.9	2	1	1	4	0	0	1.2485111129903	196.872957115113	469.138415258194	1.18740199999129	191.096310185423	436.484470993205	0
B0454.9	1	8	0	5	0	0	-0.0364743567941925	469.138415258194	457.401324283536	-1.74753524487669	436.484470993205	129.287309169887	0
B0507.1	2	5	1	6	1	1	0.441292538192299	52.1467307815106	71.1637088672634	2.45944302695942	2.61186483171488	18.8654136624759	0
B0507.1	1	2	0	11	1	1	0.443170926962132	40.3064693933278	55.1598343517325	0.175361562465191	1.356683195371	1.66127831634575	0
C03E10.3	2	2	1	10	0	0	1.047405822066	17.640664343323	37.5267128834432	-0.0479202525501163	214.616772187903	207.572528891764	0
C03E10.3	1	1	0	12	0	0	-0.302649005167551	38.1875776281225	30.7718124164435	-0.286692059527708	122.934595409586	100.599049250114	0
C04F12.5	2	3	1	3	0	0	0.172016747703747	434.069068966805	489.162868905648	2.41107553647899	18.3704970059736	102.025996115946	1
C04F12.5	1	7	0	6	0	0	0.260966005279528	357.577582501787	428.67662722423	-2.68375554160535	41.7898373074381	5.65962409874276	0
C05E11.1	2	5	1	6	1	-1	-0.54742390343471	522.957214408863	357.512918356966	0.919955793654697	1115.26628314225	2111.03978883105	0
C05E11.1	1	2	0	11	1	-1	0.224988120957322	494.796658759473	578.471083329707	-0.912386035268652	1092.12997227366	579.786132404668	1
C06A1.3	1	11	0	2	1	1	1.19193889172309	12.9094690269201	30.7775134475241	-1.30455817521364	319.106351060463	128.593479041815	0
C09F5.1	2	3	1	5	0	0	-0.217187274598869	447.009244727147	384.395901189421	1.40534440073429	147.778374708462	393.085657173089	0
C09F5.1	1	5	0	8	0	0	0.207113807377544	286.354508490591	330.715285223795	-0.42886744820103	247.717405666945	183.75840863971	0
C14C11.1	1	1	1	1	0	0	-0.233851408845251	11.0196486223809	9.22104930494292	-0.564539727344848	150.998990436406	101.777325398181	0
C14C11.1	2	3	1	2	0	0	0.89764099261111	9.22104930494292	18.041990641652	1.04631537315981	101.777325398181	211.260715568696	0
C14C11.1	1	8	0	5	0	0	0.758113926944302	6.63875115931406	11.9192527500596	-0.876551165098445	161.479680972822	87.4974718624485	0
C16H3.3a	2	3	1	1	1	-1	-0.300261268209697	440.785944895237	357.776713031785	0.463896445029473	1126.56584673714	1554.20863070456	0
C16H3.3a	1	9	0	4	1	-1	1.1002851768689	223.444767277889	480.203000523717	-0.362709662793788	1655.08838143646	1286.94412411674	0
C27D8.3b	2	1	1	3	0	0	-0.331575463838082	386.310858444785	306.783626424777	0.413792515963314	1880.35158639715	2505.30501573601	0
C27D8.3b	1	1	1	4	0	0	0.709594327555861	306.783626424777	502.332171054764	-0.561721592971733	2505.30501573601	1697.00464731439	0
C27D8.3b	2	8	0	5	0	0	-0.0573095848160978	502.332171054764	482.729736377412	0.384877234107529	1697.00464731439	2216.16730971008	0
C28A5.4	1	12	0	1	0	0	-0.935886158393593	431.340531790339	224.993603040607	-0.963079295032343	154.606474849562	78.8200339549825	0
C34C12.5.1	2	3	1	6	1	-1	-0.0483737063633534	1214.27387391232	1174.20119630985	0.686118937947757	1040.82813543838	1675.24873322786	0
C34C12.5.1	1	1	1	9	1	-1	-0.0433108026139504	1043.46374475784	1012.57413330674	0.485722856459967	1243.18188702171	1741.2120929091	0
C34C12.5.1	2	3	0	10	1	-1	0.0166511561745732	1012.57413330674	1024.3402738925	0.720323970161095	1741.2120929091	2869.38495820967	0
C34C12.9	1	4	1	6	0	0	-0.0364198038921657	83.4347692504169	81.3299529911582	-0.41223850077259	364.355144024226	273.5484981059	0
