ID	up_or_down	duration	completeness	stgen	wilcox_sig	wilcox_dir	mRNA_fold_change	mRNA_before	mRNA_after	22G_fold_change	22G_before	22G_after	MAplot_significant	ID
B0348.4u	2	9	0	4	0	0	-0.353211112110419	2156.62778833348	1688.07676293078	0.227475394262518	265.285022321629	310.762342809958	0	B0348.4
B0348.5a	1	8	0	5	1	-1	-0.58482568929741	27.5308656615321	18.0223809231516	-0.762557963771993	562.657810109659	331.248254864792	0	B0348.5
B0454.9	2	6	1	4	0	0	-0.245556369500457	642.662722024876	541.923355653315	1.0071745861704	196.676826893621	396.324661865563	0	B0454.9
B0454.9	1	3	0	10	0	0	-0.228846705577096	508.048087372606	433.37926611656	-1.18111463146228	211.178457817523	92.5729574881122	0	B0454.9
C03E10.3	2	3	0	10	0	0	0.310257231357332	22.8201268559799	28.5352603204319	0.310014109006512	146.853985034024	182.297516284283	0	C03E10.3
C04F12.5	2	3	1	9	0	0	0.313714716829686	303.23320119534	377.132622777774	-0.217730469189856	36.8587666210632	31.5554017428482	0	C04F12.5
C04F12.5	1	1	0	12	0	0	0.0869652731358705	379.37049667062	403.004292475645	-0.786259989236904	14.0562975840448	7.73032374247811	0	C04F12.5
C05C10.4.3	1	7	0	6	0	0	0.108510110850089	2108.61856800874	2273.40990215472	-0.675304231036315	94.3779944028177	58.7257148070873	0	C05C10.4
C05D11.13	2	9	0	4	0	0	-0.228808412831101	220.915310696051	188.369080842061	0.269380092612291	59.4604360376065	71.8723480067083	0	C05D11.13
C06A1.3	1	12	0	1	1	1	-0.729590184448258	26.4170725158547	15.5345565063178	-0.595774331971072	140.344916036152	92.5264064022935	0	C06A1.3
C06H2.4	1	4	0	9	0	0	0.0999722595769086	227.424900896505	243.815039566522	0.114589284712806	64.9416364275876	70.3928192725075	0	C06H2.4
C14C11.1	2	5	0	8	0	0	0.627341763271485	3.49645653312592	5.94574904304589	0.114329574569775	147.476207097999	159.721322024607	0	C14C11.1
C14F5.3d	2	3	1	5	0	0	0.529735799867597	1411.31911338591	2037.91538131022	0.625556986230055	6.84498552444841	11.103293459155	0	C14F5.3
C14F5.3d	1	5	0	8	0	0	0.57055158750836	1603.12532043824	2381.27249173988	-2.12567926437604	7.19396132185363	0.877589681453886	0	C14F5.3
C16H3.3a	1	3	0	10	1	-1	-0.0934889317505387	540.476688694261	506.500870687666	-0.993043902445113	635.962712048171	319.020653497494	0	C16H3.3
C18D4.6c	2	11	0	2	1	-1	0.635789395012881	57.9015287962754	90.5204708776927	0.164038363751642	1384.95874979941	1551.85452712683	0	C18D4.6
C27D8.3b	2	7	0	6	0	0	-0.573140653991647	514.331024806866	345.38075999788	0.268812633487096	1551.68526091691	1869.69978493916	0	C27D8.3
C30D11.1j	2	3	0	10	0	0	-0.255888078744235	123.709108745575	103.440318661566	-0.254859211277717	343.468411277925	287.688267886133	0	C30D11.1
C34C12.5.1	2	7	0	6	1	-1	-0.299782557966076	1222.74922878613	993.143068909566	0.441928105831202	872.533810998599	1185.62456651065	0	C34C12.5
C36C9.1	1	12	0	1	0	0	0.185687445105767	1525.90042674913	1735.6336314786	-0.245348407229545	252.620848865074	212.957602037025	0	C36C9.1
C45E1.4	2	3	0	10	0	0	-0.014310937700059	50.4444909447977	49.9367055607558	-0.490908445533067	76.4611657615168	54.1195751468964	0	C45E1.4
C52E4.2c	1	7	0	6	0	0	-0.0860968063789507	1185.31812994574	1116.59241686062	-1.77870497594658	1080.72056335776	314.261933291981	0	C52E4.2
C53D6.12	2	4	1	2	0	0	NA	NA	NA	1.24870507623655	4.40601935249017	11.8462177643269	0	C53D6.12
C53D6.12	1	7	0	6	0	0	NA	NA	NA	-0.480444103814766	9.25274454929585	6.34872592509052	0	C53D6.12
C55C3.3	2	2	0	11	1	-1	0.0903574990285696	131.975578981998	140.570317962774	-0.324721892309954	646.586503070815	516.066925585645	0	C55C3.3
C55C3.6a	2	6	1	4	1	1	0.135268465363215	35.5318331888754	39.1228090979666	3.34007624427694	4.5738796952005	55.4443827480321	1	C55C3.6
C55C3.6a	1	3	0	10	1	1	0.424784139634299	2.40211861641894	3.56690754005399	2.39851401552788	0	4.27259803791287	1	C55C3.6
D2096.3.3	1	4	0	9	0	0	0.851501054129299	894.835230978406	1615.42476954174	0.791623875650382	468.632889896375	811.94476022944	0	D2096.3
F01D4.4.3	1	12	0	1	1	-1	-0.255571094271954	1595.08799762399	1335.97185954333	-0.201022538928476	147.028007275969	127.774561222215	0	F01D4.4
F01F1.3	2	2	0	11	0	0	-0.157643216191357	221.148267483347	198.15333977885	0.752157664881602	195.115310398021	329.318971969049	0	F01F1.3
F08G12.4	2	5	1	5	0	0	-0.0492443983522453	289.798585910864	280.040072805895	1.27294428800446	62.9738668249254	153.595559518311	0	F08G12.4
F08G12.4	1	3	0	10	0	0	0.301546492160912	227.00020925159	280.002241894238	-0.562917822537976	82.529512250526	55.5437744928673	0	F08G12.4
F17A9.4	1	12	0	1	0	0	-0.362160183225686	835.282673834644	649.626908446017	-1.25180169956046	120.295642316702	49.9348859948886	0	F17A9.4
F22F7.5a	2	5	0	8	1	-1	0.121135905723833	281.464750916637	306.206075716863	-0.117005160586414	683.426325576095	630.10939128389	0	F22F7.5
F22F7.5b	2	5	0	8	0	0	NA	NA	NA	-0.117022364968371	1204.98852141048	1111.02853672062	0	F22F7.5
F22H10.10	2	3	1	6	0	0	NA	NA	NA	0.785043869270894	111.03293459155	192.048959233988	0	F22H10.10
F22H10.10	1	4	0	9	0	0	NA	NA	NA	0.126417692789776	121.107376040636	132.289953460402	0	F22H10.10
F23F12.3	2	2	1	2	0	0	-0.404723289256868	94.619571447572	71.2292229857254	0.809683974486444	142.461292397182	250.462889874341	0	F23F12.3
F23F12.3	1	9	0	4	0	0	0.340889072906504	74.1533910028704	94.1845404210307	-0.799311895917792	267.571962169229	153.327675747644	0	F23F12.3
F26D10.9a	1	5	1	1	0	0	-0.467561516526535	660.426812896368	477.334554466856	-1.0423726380205	164.404044499493	79.308348344823	0	F26D10.9
F26D10.9a	2	5	1	6	0	0	-0.322886954974555	661.282746180256	528.474174936515	1.18913044075464	107.331836771832	246.013129597258	0	F26D10.9
F26D10.9a	1	2	0	11	0	0	-0.222449824910196	474.39870282718	406.46838928995	-0.946184470568523	105.390751601851	54.2171478241728	0	F26D10.9
F29B9.9a	2	5	0	8	1	-1	1.3982101581754	15.7340543990666	43.1066805620827	-0.415171339273279	1330.88284454292	997.819467813069	0	F29B9.9
F31B9.3	1	10	0	3	0	0	0.504466740008898	273.045354778614	387.76044045251	-1.15921242145515	77.8465738798627	34.3040977140037	0	F31B9.3
F31C3.11	2	12	0	1	0	0	NA	NA	NA	2.5847272563649	13.3661824796335	85.1830408148099	0	F31C3.11
F31C3.7	2	12	0	1	0	0	NA	NA	NA	0.502233271403768	229.898338649697	326.045432084272	0	F31C3.7
F32B6.9	2	8	0	5	1	-1	-0.419173433638922	317.329451572396	237.063625989148	0.331089746220915	791.964825178681	996.520587959164	0	F32B6.9
