ID	up_or_down	duration	completeness	stgen
B0285.7	2	5	0	8
B0348.4u	2	12	0	1
B0454.9	2	1	1	4
B0454.9	1	8	0	5
B0507.1	2	5	1	6
B0507.1	1	2	0	11
C03E10.3	2	3	0	10
C04F12.5	2	3	1	3
C04F12.5	1	7	0	6
C05E11.1	2	5	1	6
C05E11.1	1	2	0	11
C06A1.3	1	11	0	2
C06H2.4	1	4	0	9
C09F5.1	2	8	0	5
C14C11.1	1	8	0	5
C14F5.3d	2	1	1	9
C14F5.3d	1	3	0	10
C16H3.3a	1	4	0	9
C27D8.3b	2	11	0	2
C28A5.4	1	12	0	1
C30D11.1j	2	7	0	6
C34C12.5.1	2	7	0	6
C34C12.9	2	3	1	2
C34C12.9	1	8	0	5
C36C9.1	1	5	0	8
C45E1.4	2	12	0	1
C47B2.8	2	10	0	3
C48E7.11	1	2	1	1
C48E7.11	2	1	1	3
C48E7.11	1	9	0	4
C52E4.2c	2	11	0	2
D2096.3.3	2	2	1	10
D2096.3.3	1	1	0	12
E03E2.t1	1	11	0	2
F01D4.4.3	1	7	1	2
F01D4.4.3	2	3	1	9
F01D4.4.3	1	1	0	12
F07F6.1	1	4	0	9
F08G12.4	2	2	1	6
F08G12.4	1	5	0	8
F11A6.2	2	5	0	8
F13H8.8	2	2	0	11
F15E6.12	1	7	0	6
F17A9.4	1	12	0	1
F19B2.6	1	4	0	9
F20D12.5	1	3	1	1
F20D12.5	2	9	0	4
F22F7.5a	2	9	0	4
F22F7.5b	2	9	0	4
F22H10.10	2	11	0	2
F23F12.3	2	3	1	5
F23F12.3	1	5	0	8
F29B9.9a	2	12	0	1
F31B9.3	1	3	0	10
F31C3.7	2	7	0	6
F32B6.9	2	7	0	6
F33E2.6	2	3	1	6
F33E2.6	1	1	1	9
F33E2.6	2	1	1	10
F33E2.6	1	2	0	11
F35F11.2	1	2	0	11
F37D6.6	2	6	1	3
F37D6.6	1	4	0	9
F39C12.1	1	3	0	10
F39E9.6	2	1	1	4
F39E9.6	1	1	1	5
F39E9.6	2	2	1	6
F39E9.6	1	2	1	8
F39E9.6	2	1	1	10
F39E9.6	1	2	0	11
F44G3.6.2	2	5	1	5
F44G3.6.2	1	3	0	10
F47B10.1	2	3	1	2
F47B10.1	1	4	1	5
F47B10.1	2	4	0	9
F49C5.4	1	7	0	6
F49C5.t3	2	9	1	1
F49C5.t3	1	3	0	10
F54D10.3	2	1	1	4
F54D10.3	1	8	0	5
F54D5.15b.2	2	1	1	1
F54D5.15b.2	1	4	1	2
F54D5.15b.2	2	2	1	6
F54D5.15b.2	1	2	1	8
F54D5.15b.2	2	1	1	10
F54D5.15b.2	1	2	0	11
F54E2.3j	1	3	0	10
F55C7.7g.2	2	2	1	2
F55C7.7g.2	1	2	1	4
F55C7.7g.2	2	3	1	6
F55C7.7g.2	1	4	0	9
F55C9.1	2	3	1	6
F55C9.1	1	4	0	9
H24K24.5a	2	10	0	3
K07A1.17	2	4	1	2
K07A1.17	1	3	1	6
K07A1.17	2	4	0	9
K08A2.4	2	11	0	2
K08B4.6	2	7	0	6
K10B4.6a	2	7	0	6
K10B4.6b	2	5	0	8
K10G6.3r	2	6	1	5
K10G6.3r	1	2	0	11
M01D7.5	1	7	0	6
M142.6c	2	3	1	6
M142.6c	1	4	0	9
M88.7	2	11	0	2
R05G6.5	2	7	0	6
R07H5.9	2	1	1	2
R07H5.9	1	7	1	3
R07H5.9	2	1	1	10
R07H5.9	1	2	0	11
R08E3.3b	1	3	0	10
R11G10.3	2	7	0	6
R13F6.9	1	3	1	3
R13F6.9	2	6	1	6
R13F6.9	1	1	0	12
T05C3.6a	1	10	0	3
T06C12.7	1	4	0	9
T13H2.5a	2	4	1	6
T13H2.5a	1	3	0	10
T24A11.3	2	3	1	5
T24A11.3	1	2	1	8
T24A11.3	2	1	1	10
T24A11.3	1	1	1	11
T24A11.3	2	1	0	12
T26C11.5	1	4	1	8
T26C11.5	2	1	0	12
T26C11.9	2	1	0	12
T28C6.8	2	8	1	1
T28C6.8	1	4	0	9
VF11C1L.1	1	3	0	10
W02C12.3h.1	2	7	1	1
W02C12.3h.1	1	5	0	8
W02D3.1	2	7	1	1
W02D3.1	1	5	0	8
W02G9.1	2	10	0	3
W03F11.5	2	10	0	3
W05F2.6a	2	7	0	6
W06H8.6	1	1	1	4
W06H8.6	2	4	1	5
W06H8.6	1	4	0	9
W09B6.5	2	1	1	4
W09B6.5	1	8	0	5
W09H1.2	2	1	1	10
W09H1.2	1	2	0	11
W10D5.1	2	9	0	4
Y102A5C.3	2	11	0	2
Y102A5C.6	2	4	0	9
Y110A7A.20	1	3	1	1
Y110A7A.20	2	1	1	4
Y110A7A.20	1	8	0	5
Y20F4.4a	2	8	0	5
Y22F5A.3b	2	5	1	6
Y22F5A.3b	1	2	0	11
Y2H9A.3	2	1	1	4
Y2H9A.3	1	3	1	5
Y2H9A.3	2	1	1	8
Y2H9A.3	1	4	0	9
Y37E11AL.1	2	6	1	6
Y37E11AL.1	1	1	0	12
Y37H2B.1	1	3	0	10
Y38F2AR.10	2	3	1	5
Y38F2AR.10	1	4	1	8
Y38F2AR.10	2	1	0	12
Y39G10AR.24	2	3	0	10
Y40A1A.4	1	12	0	1
Y41C4A.12a	2	12	0	1
Y46G5A.19b.2	2	3	1	3
Y46G5A.19b.2	1	5	1	6
Y46G5A.19b.2	2	2	0	11
Y47H10A.1	2	2	1	1
Y47H10A.1	1	6	1	3
Y47H10A.1	2	4	0	9
Y48B6A.10	2	6	1	6
Y48B6A.10	1	1	0	12
Y48E1B.11	2	12	0	1
Y48G9A.7	2	1	1	4
Y48G9A.7	1	8	0	5
Y53F4B.16	2	5	0	8
Y53F4B.45	2	1	1	4
Y53F4B.45	1	8	0	5
Y54F10BM.12	2	3	1	5
Y54F10BM.12	1	5	0	8
Y55F3BR.2c	1	8	0	5
Y62E10A.4a	2	2	1	6
Y62E10A.4a	1	4	1	8
Y62E10A.4a	2	1	0	12
Y66D12A.3	1	7	0	6
Y69A2AR.31	1	7	0	6
Y71A12B.15	1	5	0	8
Y71H2AL.1	2	10	0	3
Y75B12B.4	2	3	1	6
Y75B12B.4	1	4	0	9
ZC123.4c	2	3	1	1
ZC123.4c	1	7	1	4
ZC123.4c	2	2	0	11
ZC317.6	1	8	0	5
ZC328.5	2	4	1	6
ZC328.5	1	3	0	10
ZC334.14	2	1	1	4
ZC334.14	1	8	0	5
ZK1098.6	1	1	1	1
ZK1098.6	2	2	1	2
ZK1098.6	1	4	1	4
ZK1098.6	2	1	1	8
ZK1098.6	1	1	1	9
ZK1098.6	2	1	1	10
ZK1098.6	1	2	0	11
ZK218.17	1	12	0	1
ZK218.21	1	12	0	1
ZK662.3b	2	7	1	2
ZK662.3b	1	4	0	9
