ID up_or_down duration completeness stgen
A9 B0250.7b 2 1 1 8
A13 B0250.7b 1 4 0 9
A2 B0285.7 2 1 1 1
A3 B0285.7 1 1 1 2
A4 B0285.7 2 1 1 3
A81 B0285.7 1 4 1 4
A91 B0285.7 2 1 1 8
A10 B0285.7 1 1 1 9
A131 B0285.7 2 3 0 10
A6 B0348.4u 2 2 1 4
A82 B0348.4u 1 2 1 6
A12 B0348.4u 2 4 1 8
A132 B0348.4u 1 1 0 12
A133 B0348.5a 1 8 0 5
A101 B0454.9 2 6 1 4
A134 B0454.9 1 3 0 10
A135 C03E10.3 2 2 0 11
A121 C04A2.1.1 2 1 1 11
A136 C04A2.1.1 1 1 0 12
A137 C14C11.1 2 5 0 8
A138 C18D4.6c 2 11 0 2
A139 C27D8.3b 2 5 0 8
A43 C27H5.11 1 2 1 2
A51 C27H5.11 2 1 1 4
A102 C27H5.11 1 5 1 5
A122 C27H5.11 2 2 1 10
A1310 C27H5.11 1 1 0 12
A85 C28A5.4 1 3 1 5
A92 C28A5.4 2 1 1 8
A103 C28A5.4 1 1 1 9
A123 C28A5.4 2 2 1 10
A1311 C28A5.4 1 1 0 12
A93 C34C12.5.1 2 1 1 8
A104 C34C12.5.1 1 1 1 9
A112 C34C12.5.1 2 1 1 10
A124 C34C12.5.1 1 1 1 11
A1312 C34C12.5.1 2 1 0 12
A44 C34C12.9 1 3 1 1
A125 C34C12.9 2 8 1 4
A1313 C34C12.9 1 1 0 12
A1314 C47B2.8 2 1 0 12
A53 C48E7.11 1 2 1 3
A61 C48E7.11 2 1 1 5
A87 C48E7.11 1 2 1 6
A113 C48E7.11 2 3 1 8
A1315 C48E7.11 1 2 0 11
A54 C53D6.12 2 1 1 4
A1316 C53D6.12 1 8 0 5
A88 C55C3.6a 2 4 1 4
A94 C55C3.6a 1 1 1 8
A105 C55C3.6a 2 1 1 9
A1317 C55C3.6a 1 3 0 10
A62 D2096.3.3 2 3 1 3
A1318 D2096.3.3 1 7 0 6
A55 E03E2.t1 2 4 1 1
A63 E03E2.t1 1 1 1 5
A89 E03E2.t1 2 2 1 6
A95 E03E2.t1 1 1 1 8
A1319 E03E2.t1 2 4 0 9
A106 F08G12.4 2 5 1 5
A1320 F08G12.4 1 3 0 10
A47 F11A6.2 2 1 1 3
A1321 F11A6.2 1 9 0 4
A1322 F17A9.4 1 12 0 1
A96 F19B2.6 2 4 1 5
A1323 F19B2.6 1 4 0 9
A114 F22F7.5a 2 1 1 10
A1324 F22F7.5a 1 2 0 11
A1325 F22F7.5b 2 5 0 8
A48 F23F12.3 2 2 1 2
A1326 F23F12.3 1 9 0 4
A1327 F29B9.9a 2 5 0 8
A1328 F31B9.3 1 10 0 3
A127 F31C3.11 2 11 1 1
A1329 F31C3.11 1 1 0 12
A58 F31C3.6a 1 1 1 4
A97 F31C3.6a 2 4 1 5
A108 F31C3.6a 1 1 1 9
A115 F31C3.6a 2 1 1 10
A1330 F31C3.6a 1 2 0 11
A1331 F31C3.7 2 12 0 1
A24 F33E2.6 2 1 1 1
A35 F33E2.6 1 1 1 2
A59 F33E2.6 2 2 1 3
A64 F33E2.6 1 1 1 5
A98 F33E2.6 2 3 1 6
A109 F33E2.6 1 1 1 9
A116 F33E2.6 2 1 1 10
A1332 F33E2.6 1 2 0 11
A36 F35F11.2 1 2 1 1
A65 F35F11.2 2 3 1 3
A812 F35F11.2 1 2 1 6
A99 F35F11.2 2 1 1 8
A1333 F35F11.2 1 4 0 9
A37 F40E3.5.2 2 1 1 2
A410 F40E3.5.2 1 1 1 3
A66 F40E3.5.2 2 2 1 4
A1334 F40E3.5.2 1 7 0 6
A813 F48A11.1c 1 6 1 2
A1335 F48A11.1c 2 5 0 8
A27 F49C5.t3 2 1 1 1
A38 F49C5.t3 1 1 1 2
A510 F49C5.t3 2 2 1 3
A67 F49C5.t3 1 1 1 5
A814 F49C5.t3 2 2 1 6
A1336 F49C5.t3 1 5 0 8
A815 F49E8.6 2 2 1 6
A1010 F49E8.6 1 2 1 8
A118 F49E8.6 2 1 1 10
A1337 F49E8.6 1 2 0 11
A69 F52A8.4a 2 1 1 5
A910 F52A8.4a 1 3 1 6
A1338 F52A8.4a 2 4 0 9
A39 F53G12.7a 1 2 1 1
A610 F53G12.7a 2 3 1 3
A1339 F53G12.7a 1 7 0 6
A611 F54D10.3 2 2 1 4
A1340 F54D10.3 1 7 0 6
A310 F54D5.15b.2 2 1 1 2
A412 F54D5.15b.2 1 1 1 3
A612 F54D5.15b.2 2 2 1 4
A816 F54D5.15b.2 1 2 1 6
A911 F54D5.15b.2 2 1 1 8
A1011 F54D5.15b.2 1 1 1 9
A128 F54D5.15b.2 2 2 1 10
A1341 F54D5.15b.2 1 1 0 12
A413 F54E2.3j 2 1 1 3
A1342 F54E2.3j 1 9 0 4
A312 F56B6.4c 2 1 1 2
A817 F56B6.4c 1 5 1 3
A912 F56B6.4c 2 1 1 8
A1012 F56B6.4c 1 1 1 9
A1110 F56B6.4c 2 1 1 10
A129 F56B6.4c 1 1 1 11
A1343 F56B6.4c 2 1 0 12
A313 F56D12.4a 1 2 1 1
A414 F56D12.4a 2 1 1 3
A512 F56D12.4a 1 1 1 4
A1111 F56D12.4a 2 6 1 5
A1344 F56D12.4a 1 2 0 11
A1013 F57A10.2 1 1 1 9
A1112 F57A10.2 2 1 1 10
A1345 F57A10.2 1 2 0 11
A1210 F57F5.1 2 4 1 8
A1346 F57F5.1 1 1 0 12
A1211 H24K24.5a 2 2 1 10
A1347 H24K24.5a 1 1 0 12
A415 K03H6.5b 1 1 1 3
A914 K03H6.5b 2 5 1 4
A1015 K03H6.5b 1 1 1 9
A1348 K03H6.5b 2 3 0 10
A210 K05C4.11 1 1 1 1
A416 K05C4.11 2 2 1 2
A1349 K05C4.11 1 9 0 4
A1212 K07A1.17 2 6 1 6
A1350 K07A1.17 1 1 0 12
A1351 K08A2.4 2 1 0 12
A1214 K08B4.6 2 1 1 11
A1352 K08B4.6 1 1 0 12
A1114 K10B4.6a 2 1 1 10
A1353 K10B4.6a 1 2 0 11
A915 K10B4.6b 2 1 1 8
A1017 K10B4.6b 1 1 1 9
A1354 K10B4.6b 2 3 0 10
A1355 K10G6.3r 2 1 0 12
A1018 M01D7.5 1 2 1 8
A1216 M01D7.5 2 2 1 10
