ID up_or_down duration completeness stgen
B11 B0285.7 2 1 1 10
B12 B0285.7 1 1 1 11
B13 B0285.7 2 1 0 12
B5 B0348.4u 1 1 1 4
B121 B0348.4u 2 7 1 5
B131 B0348.4u 1 1 0 12
B6 B0348.5a 1 1 1 5
B132 B0348.5a 2 7 0 6
B52 B0454.9 2 1 1 4
B133 B0454.9 1 8 0 5
B111 B0507.1 2 5 1 6
B134 B0507.1 1 2 0 11
B122 C03E10.3 2 2 1 10
B135 C03E10.3 1 1 0 12
B62 C04F12.5 2 3 1 3
B136 C04F12.5 1 7 0 6
B112 C05E11.1 2 5 1 6
B137 C05E11.1 1 2 0 11
B138 C06A1.3 1 11 0 2
B8 C09F5.1 2 3 1 5
B139 C09F5.1 1 5 0 8
B21 C14C11.1 1 1 1 1
B54 C14C11.1 2 3 1 2
B1310 C14C11.1 1 8 0 5
B42 C16H3.3a 2 3 1 1
B1311 C16H3.3a 1 9 0 4
B43 C27D8.3b 2 1 1 3
B55 C27D8.3b 1 1 1 4
B1312 C27D8.3b 2 8 0 5
B1313 C28A5.4 1 12 0 1
B9 C34C12.5.1 2 3 1 6
B102 C34C12.5.1 1 1 1 9
B1314 C34C12.5.1 2 3 0 10
B103 C34C12.9 1 4 1 6
B113 C34C12.9 2 1 1 10
B1315 C34C12.9 1 2 0 11
B66 C36C9.1 1 3 1 3
B81 C36C9.1 2 2 1 6
B1316 C36C9.1 1 5 0 8
B1317 C47B2.8 2 11 0 2
B67 C48E7.11 1 1 1 5
B114 C48E7.11 2 5 1 6
B123 C48E7.11 1 1 1 11
B1318 C48E7.11 2 1 0 12
B57 C52E4.2c 2 1 1 4
B104 C52E4.2c 1 5 1 5
B1319 C52E4.2c 2 3 0 10
B23 C55C3.3 1 1 1 1
B33 C55C3.3 2 1 1 2
B45 C55C3.3 1 1 1 3
B58 C55C3.3 2 1 1 4
B91 C55C3.3 1 4 1 5
B124 C55C3.3 2 3 1 9
B1320 C55C3.3 1 1 0 12
B1321 E03E2.t1 1 11 0 2
B25 F01D4.4.3 2 1 1 1
B92 F01D4.4.3 1 7 1 2
B125 F01D4.4.3 2 3 1 9
B1322 F01D4.4.3 1 1 0 12
B59 F07F6.1 2 4 1 1
B68 F07F6.1 1 1 1 5
B93 F07F6.1 2 3 1 6
B1323 F07F6.1 1 4 0 9
B82 F08G12.4 2 2 1 6
B94 F08G12.4 1 1 1 8
B105 F08G12.4 2 1 1 9
B1324 F08G12.4 1 3 0 10
B510 F11A6.2 2 1 1 4
B83 F11A6.2 1 3 1 5
B1325 F11A6.2 2 5 0 8
B1326 F19B2.6 1 4 0 9
B47 F20D12.5 1 3 1 1
B511 F20D12.5 2 1 1 4
B610 F20D12.5 1 1 1 5
B1327 F20D12.5 2 7 0 6
B512 F22F7.5a 2 1 1 4
B611 F22F7.5a 1 1 1 5
B126 F22F7.5a 2 6 1 6
B1328 F22F7.5a 1 1 0 12
B127 F22F7.5b 2 6 1 6
B1329 F22F7.5b 1 1 0 12
B84 F23F12.3 2 3 1 5
