	ace	asu	bma	bpa	bxy	cbg	cbn	cel	crem	csp1	dvi	gpa	hba	hco	loa	mha	nam	ovo	pmu	ppac	pred	psam_ds	psam_vv	rcul	sb347	ste	tmu	tox	tsp	wba
Y20F4.8	229	2	102	44	18	8	41	1	113	14	62	15	119	107	35	23	116	37	8	81	0	0	0	0	0	0	0	0	0	0
K03D7.8	364	1	0	0	20	24	58	1	79	9	0	47	48	170	0	46	17	0	18	129	0	0	0	0	0	0	0	0	0	0
B0213.7	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
B0213.8	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
B0213.9	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
B0391.12	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
B0391.3	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
B0391.4	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C01B4.1	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C01B4.10	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C01B4.3	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C02E7.13	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C02E7.9	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C03G6.3a	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C03H5.7a	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C03H5.7b	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C03H5.9	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C04C3.7	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C05E4.10	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C05E4.11	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C05E4.13a	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C05E4.13b	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C05E4.2a	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C05E4.2b	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C05E4.6a	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C05E4.6b	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C06B3.1	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C06B3.10	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C06B3.9	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C06B8.4	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C06C6.1	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C06C6.2	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C06C6.3	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
