Gene name,Conserved among nematodes,Conserved only in Caenorhabditis,Unique to C. elegans,"SET-25-dependent endo-siRNAs targets (Lev et al., 2017)","SET-32-dependent endo-siRNAs targets (Kalinava et al., 2018)"
WBGene00000001,1,NaN,NaN,NaN,NaN
WBGene00015231,1,NaN,NaN,NaN,NaN
WBGene00004778,1,NaN,NaN,1,NaN
WBGene00008890,1,NaN,NaN,1,NaN
WBGene00007752,1,NaN,NaN,NaN,NaN
WBGene00020551,NaN,1,NaN,1,NaN
WBGene00044213,NaN,NaN,1,1,NaN
WBGene00013536,NaN,NaN,1,1,NaN
WBGene00000788,1,NaN,NaN,1,NaN
WBGene00013036,NaN,1,NaN,1,NaN
WBGene00003884,1,NaN,NaN,1,NaN
WBGene00021417,1,NaN,NaN,1,NaN
WBGene00021193,NaN,1,NaN,1,1
WBGene00020930,1,NaN,NaN,1,1
WBGene00013418,1,NaN,NaN,NaN,NaN
WBGene00013847,1,NaN,NaN,NaN,NaN
WBGene00009126,1,NaN,NaN,1,NaN
WBGene00009299,NaN,NaN,1,1,1
WBGene00010370,1,NaN,NaN,1,NaN
WBGene00004364,1,NaN,NaN,NaN,NaN
WBGene00011465,1,NaN,NaN,1,NaN
WBGene00010654,1,NaN,NaN,NaN,NaN
WBGene00017106,NaN,1,NaN,1,NaN
WBGene00206493,NaN,NaN,1,1,NaN
WBGene00007372,1,NaN,NaN,1,1
WBGene00195070,NaN,NaN,1,1,NaN
WBGene00018671,NaN,1,NaN,1,1
WBGene00019069,1,NaN,NaN,NaN,NaN
WBGene00015819,NaN,NaN,1,1,1
WBGene00022307,1,NaN,NaN,1,1
WBGene00194682,NaN,NaN,1,1,NaN
WBGene00021898,1,NaN,NaN,1,NaN
WBGene00007925,1,NaN,NaN,NaN,NaN
WBGene00021461,1,NaN,NaN,NaN,NaN
WBGene00008372,NaN,1,NaN,1,NaN
WBGene00006830,1,NaN,NaN,NaN,NaN
WBGene00007275,NaN,1,NaN,NaN,NaN
WBGene00010813,1,NaN,NaN,NaN,NaN
WBGene00013623,NaN,1,NaN,1,NaN
WBGene00016956,NaN,1,NaN,NaN,NaN
WBGene00013511,NaN,1,NaN,1,1
WBGene00195071,NaN,NaN,1,1,NaN
WBGene00007675,NaN,NaN,1,1,1
WBGene00001494,1,NaN,NaN,NaN,NaN
WBGene00000730,1,NaN,NaN,NaN,1
WBGene00022060,1,NaN,NaN,1,NaN
WBGene00015852,NaN,NaN,1,1,NaN
WBGene00045297,NaN,NaN,1,1,NaN
WBGene00010461,NaN,1,NaN,1,NaN
WBGene00021469,NaN,1,NaN,1,NaN
WBGene00001915,1,NaN,NaN,1,NaN
WBGene00012024,1,NaN,NaN,1,NaN
WBGene00012216,NaN,1,NaN,1,NaN
WBGene00010927,NaN,NaN,1,NaN,NaN
WBGene00010769,1,NaN,NaN,1,NaN
WBGene00044502,NaN,NaN,1,1,1
WBGene00007722,NaN,1,NaN,NaN,NaN
WBGene00001736,1,NaN,NaN,1,1
WBGene00018193,NaN,1,NaN,1,1
WBGene00018869,1,NaN,NaN,NaN,NaN
WBGene00012802,NaN,1,NaN,1,NaN
WBGene00000368,1,NaN,NaN,NaN,NaN
WBGene00011891,1,NaN,NaN,1,NaN
WBGene00022554,NaN,NaN,1,1,NaN
WBGene00010079,1,NaN,NaN,NaN,NaN
WBGene00001890,1,NaN,NaN,1,NaN
WBGene00013830,NaN,1,NaN,NaN,1
WBGene00009493,1,NaN,NaN,1,NaN
WBGene00003614,1,NaN,NaN,1,NaN
WBGene00000044,1,NaN,NaN,NaN,NaN
WBGene00001368,1,NaN,NaN,NaN,NaN
WBGene00006733,1,NaN,NaN,NaN,NaN
WBGene00018308,NaN,1,NaN,NaN,NaN
WBGene00019030,1,NaN,NaN,NaN,NaN
WBGene00012639,1,NaN,NaN,1,NaN
WBGene00013622,NaN,1,NaN,1,NaN
WBGene00006405,1,NaN,NaN,1,NaN
WBGene00007162,NaN,1,NaN,1,NaN
WBGene00006615,1,NaN,NaN,NaN,NaN
WBGene00001008,1,NaN,NaN,1,1
WBGene00045387,1,NaN,NaN,NaN,NaN
WBGene00000088,NaN,1,NaN,1,NaN
WBGene00010365,NaN,1,NaN,1,NaN
WBGene00015942,1,NaN,NaN,NaN,NaN
WBGene00019133,NaN,1,NaN,NaN,1
WBGene00013693,1,NaN,NaN,NaN,NaN
WBGene00014148,1,NaN,NaN,1,NaN
WBGene00021055,NaN,NaN,1,1,NaN
WBGene00006272,1,NaN,NaN,1,NaN
WBGene00014060,NaN,1,NaN,NaN,NaN
WBGene00013620,NaN,1,NaN,1,NaN
WBGene00013228,1,NaN,NaN,NaN,NaN
WBGene00006771,1,NaN,NaN,NaN,NaN
WBGene00003533,1,NaN,NaN,NaN,NaN
WBGene00003685,NaN,1,NaN,NaN,NaN
WBGene00016172,1,NaN,NaN,NaN,NaN
WBGene00013832,NaN,1,NaN,NaN,NaN
WBGene00002183,1,NaN,NaN,1,NaN
WBGene00008949,NaN,NaN,1,NaN,1
WBGene00017292,NaN,1,NaN,1,NaN
WBGene00022145,NaN,1,NaN,NaN,NaN
WBGene00017796,NaN,1,NaN,1,NaN
WBGene00011971,1,NaN,NaN,1,NaN
WBGene00010907,1,NaN,NaN,NaN,NaN
WBGene00018439,NaN,1,NaN,1,1
WBGene00022353,NaN,1,NaN,1,NaN
WBGene00021358,1,NaN,NaN,NaN,NaN
WBGene00015163,1,NaN,NaN,1,NaN
WBGene00019208,NaN,1,NaN,1,NaN
WBGene00019044,NaN,NaN,1,1,1
WBGene00019753,1,NaN,NaN,NaN,NaN
WBGene00004120,1,NaN,NaN,1,NaN
WBGene00012025,1,NaN,NaN,1,NaN
WBGene00219218,NaN,NaN,1,1,NaN
WBGene00011267,NaN,1,NaN,1,NaN
WBGene00000075,1,NaN,NaN,1,NaN
WBGene00021237,1,NaN,NaN,NaN,NaN
WBGene00012107,1,NaN,NaN,1,1
WBGene00013987,NaN,1,NaN,NaN,NaN
WBGene00009526,NaN,1,NaN,1,NaN
WBGene00013825,1,NaN,NaN,NaN,NaN
WBGene00006543,1,NaN,NaN,1,NaN
WBGene00006788,1,NaN,NaN,NaN,NaN
WBGene00008832,1,NaN,NaN,NaN,NaN
WBGene00009698,NaN,1,NaN,1,NaN
WBGene00011591,NaN,NaN,1,1,NaN
WBGene00018743,1,NaN,NaN,NaN,NaN
WBGene00017848,NaN,1,NaN,1,NaN
WBGene00017536,1,NaN,NaN,1,NaN
WBGene00002989,1,NaN,NaN,NaN,NaN
WBGene00012003,NaN,NaN,1,1,NaN
WBGene00009361,NaN,1,NaN,1,NaN
WBGene00009741,1,NaN,NaN,NaN,NaN
WBGene00021302,NaN,NaN,1,NaN,1
WBGene00021345,1,NaN,NaN,1,NaN
WBGene00012102,1,NaN,NaN,1,NaN
WBGene00021039,1,NaN,NaN,NaN,NaN
WBGene00016997,1,NaN,NaN,1,NaN
WBGene00007055,1,NaN,NaN,NaN,NaN
WBGene00010082,1,NaN,NaN,NaN,NaN
WBGene00018965,NaN,1,NaN,NaN,NaN
WBGene00043065,1,NaN,NaN,NaN,NaN
WBGene00008762,1,NaN,NaN,NaN,NaN
WBGene00023519,NaN,NaN,1,NaN,NaN
WBGene00013944,NaN,1,NaN,1,NaN
WBGene00022276,1,NaN,NaN,NaN,NaN
WBGene00022197,NaN,1,NaN,NaN,NaN
WBGene00010221,NaN,1,NaN,1,NaN
WBGene00219451,NaN,NaN,1,1,NaN
WBGene00012103,1,NaN,NaN,1,1
WBGene00021972,NaN,1,NaN,NaN,NaN
WBGene00011832,1,NaN,NaN,NaN,NaN
WBGene00000266,1,NaN,NaN,NaN,NaN
WBGene00020060,1,NaN,NaN,NaN,NaN
WBGene00007011,1,NaN,NaN,NaN,NaN
WBGene00009306,1,NaN,NaN,1,NaN
WBGene00021493,1,NaN,NaN,NaN,NaN
WBGene00012227,NaN,1,NaN,1,NaN
WBGene00013666,1,NaN,NaN,1,NaN
WBGene00003546,1,NaN,NaN,NaN,NaN
WBGene00021458,NaN,1,NaN,1,NaN
WBGene00012041,NaN,NaN,1,1,NaN
WBGene00235295,NaN,NaN,1,NaN,NaN
WBGene00006472,1,NaN,NaN,NaN,NaN
WBGene00021872,NaN,1,NaN,NaN,NaN
WBGene00003404,1,NaN,NaN,NaN,NaN
WBGene00011995,1,NaN,NaN,NaN,NaN
WBGene00008051,NaN,1,NaN,1,NaN
WBGene00012352,1,NaN,NaN,NaN,NaN
WBGene00004423,1,NaN,NaN,1,1
WBGene00003674,1,NaN,NaN,NaN,NaN
WBGene00019982,NaN,1,NaN,NaN,NaN
WBGene00007766,NaN,NaN,1,1,NaN
WBGene00011059,1,NaN,NaN,1,NaN
WBGene00021375,NaN,NaN,1,1,NaN
WBGene00012240,NaN,NaN,1,1,NaN
WBGene00016264,1,NaN,NaN,1,NaN
WBGene00044367,NaN,1,NaN,NaN,NaN
WBGene00011252,NaN,1,NaN,NaN,NaN
WBGene00004233,1,NaN,NaN,NaN,NaN
WBGene00011291,1,NaN,NaN,NaN,NaN
WBGene00004728,1,NaN,NaN,1,NaN
WBGene00016846,1,NaN,NaN,NaN,NaN
WBGene00044400,NaN,NaN,1,1,NaN
WBGene00050934,NaN,NaN,1,1,NaN
WBGene00013592,1,NaN,NaN,NaN,NaN
WBGene00006789,1,NaN,NaN,1,1
WBGene00018207,1,NaN,NaN,NaN,NaN
WBGene00022431,NaN,1,NaN,NaN,1
WBGene00044705,1,NaN,NaN,NaN,NaN
WBGene00015431,NaN,1,NaN,NaN,NaN
WBGene00010448,1,NaN,NaN,NaN,NaN
WBGene00005903,1,NaN,NaN,1,NaN
WBGene00003915,1,NaN,NaN,1,NaN
WBGene00015735,1,NaN,NaN,1,1
WBGene00015236,1,NaN,NaN,NaN,NaN
WBGene00022178,1,NaN,NaN,NaN,1
WBGene00011856,1,NaN,NaN,NaN,NaN
WBGene00000546,1,NaN,NaN,1,NaN
WBGene00011803,1,NaN,NaN,1,1
WBGene00006902,NaN,1,NaN,1,NaN
WBGene00020482,1,NaN,NaN,NaN,NaN
WBGene00001785,1,NaN,NaN,1,NaN
WBGene00008121,1,NaN,NaN,NaN,NaN
WBGene00019915,1,NaN,NaN,NaN,1
WBGene00009823,NaN,1,NaN,1,NaN
WBGene00006657,1,NaN,NaN,NaN,NaN
WBGene00012758,NaN,1,NaN,NaN,NaN
WBGene00013965,1,NaN,NaN,1,NaN
WBGene00000036,1,NaN,NaN,NaN,NaN
WBGene00002881,1,NaN,NaN,NaN,NaN
WBGene00016386,NaN,1,NaN,NaN,NaN
WBGene00022846,NaN,1,NaN,NaN,NaN
WBGene00016556,NaN,1,NaN,1,NaN
WBGene00004923,1,NaN,NaN,NaN,NaN
WBGene00021713,NaN,NaN,1,NaN,NaN
WBGene00013270,1,NaN,NaN,NaN,NaN
WBGene00007328,1,NaN,NaN,NaN,NaN
WBGene00012239,NaN,1,NaN,1,NaN
WBGene00004924,1,NaN,NaN,NaN,NaN
WBGene00019140,1,NaN,NaN,1,NaN
WBGene00022349,NaN,NaN,1,1,NaN
WBGene00008204,NaN,NaN,1,NaN,NaN
WBGene00001392,NaN,1,NaN,1,NaN
WBGene00010722,1,NaN,NaN,NaN,NaN
WBGene00022557,NaN,1,NaN,1,NaN
WBGene00009961,1,NaN,NaN,1,NaN
WBGene00013234,NaN,1,NaN,1,NaN
WBGene00023405,NaN,1,NaN,NaN,NaN
WBGene00020944,NaN,NaN,1,1,NaN
WBGene00015199,NaN,1,NaN,1,NaN
WBGene00000294,1,NaN,NaN,1,1
WBGene00018109,NaN,1,NaN,NaN,NaN
WBGene00013755,NaN,1,NaN,1,1
WBGene00019761,NaN,1,NaN,NaN,NaN
WBGene00022523,NaN,NaN,1,1,NaN
WBGene00023284,NaN,NaN,1,1,NaN
WBGene00235289,1,NaN,NaN,1,NaN
WBGene00007454,NaN,NaN,1,1,1
WBGene00007986,1,NaN,NaN,NaN,NaN
WBGene00015829,NaN,1,NaN,1,NaN
WBGene00022377,1,NaN,NaN,1,NaN
WBGene00021204,NaN,1,NaN,1,NaN
WBGene00017913,NaN,1,NaN,1,NaN
WBGene00008951,1,NaN,NaN,NaN,NaN
WBGene00019462,NaN,1,NaN,NaN,NaN
WBGene00001394,1,NaN,NaN,NaN,NaN
WBGene00007196,NaN,1,NaN,NaN,NaN
WBGene00022434,1,NaN,NaN,1,NaN
WBGene00008620,NaN,NaN,1,1,NaN
WBGene00001493,1,NaN,NaN,NaN,NaN
WBGene00007096,1,NaN,NaN,NaN,NaN
WBGene00010848,NaN,1,NaN,NaN,NaN
WBGene00000096,1,NaN,NaN,NaN,NaN
WBGene00077508,NaN,NaN,1,1,NaN
WBGene00004858,1,NaN,NaN,NaN,NaN
WBGene00005227,NaN,1,NaN,1,NaN
WBGene00022112,NaN,1,NaN,1,NaN
WBGene00009274,NaN,1,NaN,1,NaN
WBGene00020797,1,NaN,NaN,NaN,NaN
WBGene00022609,1,NaN,NaN,NaN,NaN
WBGene00013136,1,NaN,NaN,NaN,NaN
WBGene00021089,NaN,1,NaN,1,NaN
WBGene00011127,NaN,1,NaN,1,NaN
WBGene00019782,1,NaN,NaN,NaN,NaN
WBGene00009100,1,NaN,NaN,NaN,NaN
WBGene00001935,1,NaN,NaN,1,NaN
WBGene00009095,1,NaN,NaN,1,NaN
WBGene00018309,NaN,1,NaN,NaN,NaN
WBGene00019200,NaN,1,NaN,NaN,NaN
WBGene00001475,1,NaN,NaN,NaN,NaN
WBGene00019139,1,NaN,NaN,1,NaN
WBGene00008538,1,NaN,NaN,NaN,NaN
WBGene00018669,NaN,NaN,1,1,NaN
WBGene00017430,1,NaN,NaN,1,NaN
WBGene00021887,NaN,NaN,1,1,NaN
WBGene00022033,1,NaN,NaN,1,NaN
WBGene00001859,NaN,NaN,1,1,1
WBGene00013226,1,NaN,NaN,1,NaN
WBGene00014198,NaN,1,NaN,1,NaN
WBGene00010177,NaN,1,NaN,NaN,NaN
WBGene00011065,1,NaN,NaN,NaN,NaN
WBGene00020755,1,NaN,NaN,NaN,NaN
WBGene00008283,NaN,1,NaN,NaN,NaN
WBGene00010943,1,NaN,NaN,NaN,NaN
WBGene00015851,NaN,NaN,1,NaN,NaN
WBGene00015478,1,NaN,NaN,NaN,NaN
WBGene00022018,1,NaN,NaN,NaN,NaN
WBGene00007213,NaN,1,NaN,NaN,NaN
WBGene00219413,NaN,NaN,1,NaN,NaN
WBGene00004057,1,NaN,NaN,NaN,NaN
WBGene00015278,1,NaN,NaN,NaN,NaN
WBGene00004727,1,NaN,NaN,NaN,NaN
WBGene00194735,NaN,1,NaN,NaN,NaN
WBGene00016993,NaN,1,NaN,NaN,NaN
WBGene00017941,NaN,NaN,1,NaN,NaN
WBGene00021468,NaN,1,NaN,NaN,NaN
WBGene00002979,1,NaN,NaN,NaN,NaN
WBGene00008726,NaN,1,NaN,NaN,NaN
WBGene00009834,NaN,1,NaN,NaN,NaN
WBGene00021635,NaN,1,NaN,NaN,NaN
WBGene00011203,NaN,1,NaN,NaN,NaN
WBGene00021678,NaN,1,NaN,NaN,1
WBGene00012909,1,NaN,NaN,NaN,NaN
WBGene00004682,1,NaN,NaN,NaN,NaN
WBGene00007734,NaN,1,NaN,NaN,NaN
WBGene00008214,1,NaN,NaN,NaN,NaN
WBGene00010067,1,NaN,NaN,NaN,NaN
WBGene00010100,NaN,NaN,1,NaN,1
WBGene00015552,NaN,1,NaN,NaN,NaN
WBGene00015693,1,NaN,NaN,NaN,NaN
WBGene00022845,1,NaN,NaN,NaN,NaN
WBGene00013509,NaN,1,NaN,NaN,NaN
WBGene00015569,NaN,1,NaN,NaN,NaN
WBGene00021487,1,NaN,NaN,NaN,NaN
WBGene00014149,NaN,1,NaN,NaN,NaN
WBGene00009116,1,NaN,NaN,NaN,NaN
WBGene00013195,1,NaN,NaN,NaN,NaN
WBGene00019541,NaN,NaN,1,NaN,NaN
WBGene00020817,NaN,NaN,1,NaN,NaN
WBGene00044164,NaN,NaN,1,NaN,NaN
WBGene00009953,NaN,1,NaN,NaN,NaN
WBGene00012461,1,NaN,NaN,NaN,NaN
WBGene00022561,1,NaN,NaN,NaN,NaN
WBGene00003694,1,NaN,NaN,NaN,NaN
WBGene00008390,NaN,1,NaN,NaN,NaN
WBGene00012564,NaN,1,NaN,NaN,NaN
WBGene00016797,NaN,1,NaN,NaN,NaN
WBGene00008144,1,NaN,NaN,NaN,NaN
WBGene00011920,NaN,1,NaN,NaN,NaN
WBGene00013061,NaN,1,NaN,NaN,NaN
WBGene00006705,1,NaN,NaN,NaN,NaN
WBGene00010934,NaN,1,NaN,NaN,NaN
WBGene00012249,NaN,NaN,1,NaN,NaN
WBGene00000224,1,NaN,NaN,NaN,NaN
