V5	V6	V7	V10	V11	Gene
120	B0303.5	1	419	Tc3	DNA/TcMar-Tc1	B0303.5
122	B0303.5	416	990	Tc3	DNA/TcMar-Tc1	B0303.5
347	C02A12.7	38	95	MIRAGE1	DNA/CMC-Mirage	C02A12.7
348	C02A12.7	96	264	MIRAGE1	DNA/CMC-Mirage	C02A12.7
634	C06A5.10	103	240	Turmoil1	DNA/PIF-Harbinger	C06A5.10
635	C06A5.4	1	252	Turmoil1	DNA/PIF-Harbinger	C06A5.4
636	C06A5.4	253	423	Turmoil1	DNA/PIF-Harbinger	C06A5.4
638	C06A5.4	414	590	Turmoil1	DNA/PIF-Harbinger	C06A5.4
639	C06A5.4	590	659	Turmoil1	DNA/PIF-Harbinger	C06A5.4
641	C06A5.5	1	123	Turmoil1	DNA/PIF-Harbinger	C06A5.5
642	C06A5.5	122	182	Turmoil1	DNA/PIF-Harbinger	C06A5.5
644	C06A5.5	181	285	Turmoil1	DNA/PIF-Harbinger	C06A5.5
645	C06A5.5	285	374	Turmoil1	DNA/PIF-Harbinger	C06A5.5
647	C06A5.5	357	414	Turmoil1	DNA/PIF-Harbinger	C06A5.5
682	C06E8.4	1	1662	RTE1	LINE/RTE	C06E8.4
810	C09G12.7	1	220	TC4	DNA/TcMar-Tc4	C09G12.7
812	C09G12.7	201	500	TC4	DNA/TcMar-Tc4	C09G12.7
813	C09G12.7	499	620	TC4	DNA/TcMar-Tc4	C09G12.7
815	C09G12.7	618	1242	TC4	DNA/TcMar-Tc4	C09G12.7
816	C09G12.7	1241	1596	TC4	DNA/TcMar-Tc4	C09G12.7
1206	C24A1.4	121	416	Mariner3_CE	DNA/TcMar-Mariner	C24A1.4
1207	C24A1.4	412	474	Mariner3_CE	DNA/TcMar-Mariner	C24A1.4
1318	C27H2.1	1	423	MARINCE1	DNA/TcMar-Tc1	C27H2.1
1319	C27H2.1	422	732	MARINCE1	DNA/TcMar-Tc1	C27H2.1
1364	C29E6.6	1	1020	Mariner2_CE	DNA/TcMar-Mariner	C29E6.6
1380	C30A5.9	1	201	Mariner3_CE	DNA/TcMar-Mariner	C30A5.9
1399	C30G4.1	1	1020	Mariner2_CE	DNA/TcMar-Mariner	C30G4.1
1433	C31A11.8	1	156	Tc1	DNA/TcMar-Tc1	C31A11.8
1435	C31A11.8	155	1032	Tc1	DNA/TcMar-Tc1	C31A11.8
1436	C31C9.5	1	1626	Vingi-1_CE	LINE/Jockey	C31C9.5
1605	C36A4.7	1	1020	Mariner2_CE	DNA/TcMar-Mariner	C36A4.7
2049	C48D1.6	1	156	Tc1	DNA/TcMar-Tc1	C48D1.6
2051	C48D1.6	155	1032	Tc1	DNA/TcMar-Tc1	C48D1.6
2132	C50H2.9	1	444	Tc1	DNA/TcMar-Tc1	C50H2.9
2618	F09C3.6	18	2336	RTE1	LINE/RTE	F09C3.6
2619	F09C3.6	2366	2507	RTE1	LINE/RTE	F09C3.6
2823	F14D2.9	1	96	Turmoil1	DNA/PIF-Harbinger	F14D2.9
2825	F14D2.9	96	359	Turmoil1	DNA/PIF-Harbinger	F14D2.9
2826	F14D2.9	356	407	Turmoil1	DNA/PIF-Harbinger	F14D2.9
2828	F14D2.9	405	681	Turmoil1	DNA/PIF-Harbinger	F14D2.9
2829	F14D2.9	682	850	Turmoil1	DNA/PIF-Harbinger	F14D2.9
2830	F14D2.9	846	929	Turmoil1	DNA/PIF-Harbinger	F14D2.9
2832	F14D2.9	928	1188	Turmoil1	DNA/PIF-Harbinger	F14D2.9
2834	F14D2.9	1179	1977	Turmoil1	DNA/PIF-Harbinger	F14D2.9
2848	F15A2.7	27	282	TIR9TA1_CE	DNA	F15A2.7
2932	F18C5.7	1	156	Tc1	DNA/TcMar-Tc1	F18C5.7
2934	F18C5.7	155	1032	Tc1	DNA/TcMar-Tc1	F18C5.7
3010	F22B3.6	1	1662	RTE1	LINE/RTE	F22B3.6
3083	F23A7.7	180	567	MIRAGE1	DNA/CMC-Mirage	F23A7.7
3084	F23A7.7	571	828	MIRAGE1	DNA/CMC-Mirage	F23A7.7
